Verno,Book&Page,Book,Page,Sale Price,Assessed Value,Ratio,PC,MC,SC,Excl?,Notes,CollectedOn
10,4562-0293,4562,293,500000,451200,90.,14,,,,,2023-03-08
34,4570-0692,4570,692,339000,332100,98,14,,,,,2023-03-08
45,4573-0833,4573,833,50000,50200,100.,22,,,,,2023-03-08
48,4575-0214,4575,214,329933,282700,86.,11,,,,,2023-03-08
54,4576-0498,4576,498,175000,171600,98.,19,,,,,2023-03-08
64,4581-0400,4581,400,100000,113900,114.,22,,,,,2023-03-08
69,4582-0650,4582,650,240533,261800,109.,11,,,,Resale to 329,2023-03-08
102,4593-0343,4593,343,525000,508600,97.,11,,,,,2023-03-08
139,4601-0508,4601,508,525000,432400,82.,11,,,,,2023-03-08
162,4612-0260,4612,260,405000,420500,104.,11,,,,,2023-03-08
169,4614-0724,4614,724,1435000,1339400,93.,11,,,,,2023-03-08
189,4622-0621,4622,621,700000,610900,87.,11,,,,,2023-03-08
219,4635-0378,4635,378,288800,364900,126.,11,,,,,2023-03-08
245,4644-0627,4644,627,525000,393500,75,11,,,,,2023-03-08
263,4647-0864,4647,864,525000,380500,73.,11,,,,,2023-03-08
265,4647-0931,4647,931,600000,325300,54.,11,70,,,,2023-03-08
283,4652-0053,4652,53,775000,686800,89.,11,70,,,,2023-03-08
304,4657-0199,4657,199,675000,488300,72.,11,,,,,2023-03-08
316,4659-0112,4659,112,216000,197400,91.,14,,,,,2023-03-08
326,4662-0466,4662,466,2500000,2398500,96.,11,70,,,,2023-03-08
327,4662-0861,4662,861,345000,365300,106.,11,,,,,2023-03-08
331,4664-0310,4664,310,789000,630000,80.,11,,,,,2023-03-08
339,4666-0182,4666,182,390000,377100,97.,14,,,,,2023-03-08
346,4667-0619,4667,619,169600,323000,190.,11,,,Yes,"This property is in a flood zone and in need of renovation per mls.
Please trim",2023-03-08
3,4561-0481,4561,481,1950000,1993400,102.,11,70,,90,RSA 79-A Current Use,2023-03-08
18,4564-0344,4564,344,100000,236800,237.,11,,,81,Estate Sale With Fiduciary Covenants Resale to 309,2023-03-08
35,4570-0715,4570,715,1500000,1244000,83.,11,,,90,RSA 79-A Current Use,2023-03-08
80,4585-0612,4585,612,600000,554000,92.,22,,,90,RSA 79-A Current Use,2023-03-08
82,4586-0837,4586,837,1845000,9700,0.5,22,,,19,Multi-Town Property PARTIALLY IN HANOVER,2023-03-08
94,4590-0116,4590,116,163933,200600,122.,11,,,13,Improvements +/- (Post Sale/PreAssmt) - Be,2023-03-08
114,4596-0046,4596,46,580000,574400,99,11,,,90,RSA 79-A Current Use,2023-03-08
137,4601-0158,4601,158,260000,349100,134.,11,,,13,Improvements +/- (Post Sale/PreAssmt) - Be,2023-03-08
163,4612-0972,4612,972,400000,422400,106.,22,,,90,RSA 79-A Current Use,2023-03-08
164,4613-0016,4613,16,125000,498900,399.,11,,,11,Property Sold Not Separately Assessed LOT LINE ADJUSTMENT,2023-03-08
171,4616-0421,4616,421,2500000,459000,18.,22,,,40,Business Affiliates as Grantor/Grantee,2023-03-08
184,4621-0264,4621,264,615000,596500,97,11,,,90,RSA 79-A Current Use,2023-03-08
200,4629-0330,4629,330,131533,215400,164.,11,,,81,Estate Sale With Fiduciary Covenants,2023-03-08
221,4635-0438,4635,438,2800,220100,7861.,17,,,11,Property Sold Not Separately Assessed,2023-03-08
276,4650-0312,4650,312,725000,620500,86.,11,,,90,RSA 79-A Current Use,2023-03-08
309,4658-0160,4658,160,412000,236800,58.,11,,,14,Improvements +/- (Post Assmt/Pre Sale) Resale of 18,2023-03-08
312,4658-0326,4658,326,219000,206700,94.,14,,,11,Property Sold Not Separately Assessed THIS WAS SUBDIVIED AFTER 4/1/2021,2023-03-08
314,4658-0842,4658,842,1230000,1036200,84.,11,,,90,RSA 79-A Current Use,2023-03-08
329,4664-0291,4664,291,307000,261800,85.,11,,,89,Resale in EQ Period Resale of 69,2023-03-08
353,4671-0361,4671,361,450000,566000,126.,11,,,11,Property Sold Not Separately Assessed,2023-03-08
