Ass. Year,Improvements,Land,Total,PID,CollectedOn
,,,,,
2022,"$93,700 ","$167,600 ","$261,300 ",5,2023-01-25
2021,"$93,700 ","$167,600 ","$261,300 ",5,2023-01-25
2020,"$80,700 ","$130,200 ","$210,900 ",5,2023-01-25
,,,,,
2022,"$77,200 ","$104,600 ","$181,800 ",7,2023-01-25
2021,"$77,200 ","$104,600 ","$181,800 ",7,2023-01-25
2020,"$62,000 ","$88,200 ","$150,200 ",7,2023-01-25
,,,,,
2022,"$114,000 ","$140,400 ","$254,400 ",8,2023-01-25
2021,"$114,000 ","$140,400 ","$254,400 ",8,2023-01-25
2020,"$106,600 ","$101,200 ","$207,800 ",8,2023-01-25
,,,,,
2022,"$112,100 ","$157,900 ","$270,000 ",9,2023-01-25
2021,"$108,900 ","$157,900 ","$266,800 ",9,2023-01-25
2020,"$89,500 ","$121,300 ","$210,800 ",9,2023-01-25
,,,,,
2022,"$254,100 ","$163,000 ","$417,100 ",10,2023-01-25
2021,"$254,100 ","$163,000 ","$417,100 ",10,2023-01-25
2020,"$254,100 ","$125,900 ","$380,000 ",10,2023-01-25
,,,,,
2022,"$261,800 ","$225,200 ","$487,000 ",12,2023-01-25
2021,"$261,800 ","$225,200 ","$487,000 ",12,2023-01-25
2020,"$260,800 ","$171,900 ","$432,700 ",12,2023-01-25
,,,,,
2022,"$275,700 ","$280,700 ","$556,400 ",13,2023-01-25
2021,"$275,700 ","$280,700 ","$556,400 ",13,2023-01-25
2020,"$257,200 ","$186,800 ","$444,000 ",13,2023-01-25
,,,,,
2022,"$1,016,100 ","$385,700 ","$1,401,800 ",16,2023-01-25
2021,"$1,016,100 ","$385,700 ","$1,401,800 ",16,2023-01-25
2020,"$913,900 ","$292,700 ","$1,206,600 ",16,2023-01-25
,,,,,
2022,"$194,000 ","$139,100 ","$333,100 ",18,2023-01-25
2021,"$162,500 ","$139,100 ","$301,600 ",18,2023-01-25
2020,"$161,500 ","$138,400 ","$299,900 ",18,2023-01-25
,,,,,
2022,"$125,000 ","$62,300 ","$187,300 ",19,2023-01-25
2021,"$91,700 ","$62,300 ","$154,000 ",19,2023-01-25
2020,"$82,100 ","$53,500 ","$135,600 ",19,2023-01-25
,,,,,
2022,"$381,400 ","$234,400 ","$615,800 ",20,2023-01-25
2021,"$381,400 ","$234,400 ","$615,800 ",20,2023-01-25
2020,"$367,500 ","$206,400 ","$573,900 ",20,2023-01-25
,,,,,
2022,"$398,100 ","$288,400 ","$686,500 ",21,2023-01-25
2021,"$398,100 ","$288,400 ","$686,500 ",21,2023-01-25
2020,"$409,800 ","$203,600 ","$613,400 ",21,2023-01-25
,,,,,
2022,"$269,300 ","$179,700 ","$449,000 ",22,2023-01-25
2021,"$269,300 ","$179,700 ","$449,000 ",22,2023-01-25
2020,"$211,300 ","$178,700 ","$390,000 ",22,2023-01-25
,,,,,
2022,"$233,100 ","$245,600 ","$478,700 ",23,2023-01-25
2021,"$233,100 ","$245,600 ","$478,700 ",23,2023-01-25
2020,"$227,500 ","$214,300 ","$441,800 ",23,2023-01-25
,,,,,
2022,"$378,700 ","$170,500 ","$549,200 ",25,2023-01-25
2021,"$410,600 ","$170,500 ","$581,100 ",25,2023-01-25
2020,"$319,400 ","$149,000 ","$468,400 ",25,2023-01-25
,,,,,
2022,"$144,700 ","$205,300 ","$350,000 ",26,2023-01-25
2021,"$151,100 ","$205,300 ","$356,400 ",26,2023-01-25
2020,"$143,500 ","$150,400 ","$293,900 ",26,2023-01-25
,,,,,
2022,"$327,100 ","$210,000 ","$537,100 ",27,2023-01-25
2021,"$326,700 ","$210,000 ","$536,700 ",27,2023-01-25
2020,"$325,200 ","$184,600 ","$509,800 ",27,2023-01-25
,,,,,
2022,"$298,800 ","$244,000 ","$542,800 ",28,2023-01-25
2021,"$292,900 ","$244,000 ","$536,900 ",28,2023-01-25
