EF_PID,EF_Map,EF_Lot,EF_Unt,EF_NoParcel,EF_LotSize,EF_MapAcres,EF_Exemp,EF_MuniEasement,EF_ConsEasement,EF_PartofMap,EF_PartofLot,EF_PartofUnit,EF_Street_Address,EF_Frontage,EF_FrontSuffix,EF_Notes,EF_CollectedOn
PID,Map,Lot,Unit,Parcel?,SD_Lot_Size,MapAcres,Exempt,MuniEasement,ConsEase,PartofMap,PartofLot,PartofUnit,StreetAddress,Frontage,Suffix,Notes,CollectedOn
5,201,1,,,3.9,,,,,,,,58 DORCHESTER RD,400,,,6/2/24
,201,2,,NoParcel,,,,,,,,,,0,,,6/2/24
,201,3,,,,,,,,408,30,,,0,,,6/2/24
7,201,4,,,0.49,,,,,,,,42 DORCHESTER RD,115,,,6/2/24
8,201,5,,,0.98,,,,,,,,40 DORCHESTER RD,130,,,6/2/24
9,201,6,,,1.85,,,,,,,,36 DORCHESTER RD,221,,,6/2/24
10,201,7,,,2.46,,,,,,,,32 DORCHESTER RD,431,,,6/2/24
,201,8,,NoParcel,,,,,,,,,,0,,,6/2/24
12,201,9,,,3.11,,,,,,,,22 DORCHESTER RD,312.99,,,6/2/24
13,201,10,,,1.6,,,,,,,,18 DORCHESTER RD,296,,,6/2/24
16,201,11,,,1.4,,,,,,,,1 MARKET ST,409.4,,,6/2/24
19,201,12,1000,,0.1,,,,,,,,5 MARKET ST,262.16,,,6/2/24
18,201,12,2000,,0.34,,,,,,,,7 MARKET ST,59.65,,,6/2/24
20,201,13,,,1.6,,,,,,,,11 MARKET ST,15.6,,,6/2/24
21,201,14,,,1.8,,,,,,,,15 MARKET ST,351.1,,,6/2/24
22,201,15,,,0.55,,,,,,,,19 MARKET ST,115.4,,,6/2/24
23,201,16,,,4.31,,,,,,,,25 MARKET ST,410,,,6/2/24
103257,201,17,,,12.5,,,,,,,,135 WASHBURN HILL RD,943,,,6/2/24
25,201,18,,,0.5,,,,,,,,30 MARKET ST,120,,,6/2/24
26,201,19,,,1.1,,,,,,,,26 MARKET ST,325.3,,,6/2/24
27,201,20,,,2.08,,,,,,,,22 MARKET ST,101.7,,,6/2/24
28,201,21,,,3.5,,,,,,,,20 MARKET ST,88.8,,,6/2/24
29,201,22,,,3.91,,,,,,,,14 MARKET ST,315.67,,,6/2/24
30,201,23,,,1.38,,,,,,,,10 MARKET ST,118.2,,,6/2/24
,201,24,,NoParcel,,,,,,,,,,0,,,6/2/24
32,201,25,,,0.37,,,,,,,,8 MARKET ST,105,,,6/2/24
33,201,26,,,0.29,,,,,,,,6 MARKET ST,115.5,,,6/2/24
34,201,27,,,0.4,,,,,,,,4 MARKET ST,225,,,6/2/24
35,201,28,,,1.4,,,,,,,,1 ON THE COMMON (COMMON),905,,Lyme Common,6/2/24
36,201,29,,,2.2,,,,,,,,18 ON THE COMMON,209.6,,,6/2/24
37,201,30,,,0.78,,,,,,,,16 ON THE COMMON,74,,,6/2/24
103137,201,30,T,,0,,,,,,,,16 ON THE COMMON,0,,,6/2/24
39,201,31,1000,,3.08,,,,,,,,14 ON THE COMMON,167,,,6/2/24
40,201,31,2000,,9.99,,,,,,,,18 MARKET ST (BIG ROCK),0,,No frontage?,6/2/24
41,201,32,,,0.65,,,,,,,,12 ON THE COMMON,134.5,,,6/2/24
42,201,33,,,1.5,,,,,,,,10 ON THE COMMON,107.7,,,6/2/24
43,201,34,,,1.71,,,,,,,,8 ON THE COMMON,69.3,,,6/2/24
50,201,35,10,,0,,,,,,,,6 ON THE COMMON UNIT #1,94.5,,6 On the Common,6/2/24
51,201,35,20,,0,,,,,,,,6 ON THE COMMON UNIT #2,0,,,6/2/24
52,201,35,30,,0,,,,,,,,6 ON THE COMMON UNIT #3,0,,,6/2/24
53,201,35,40,,0,,,,,,,,6 ON THE COMMON UNIT #4,0,,,6/2/24
54,201,35,50,,0,,,,,,,,6 ON THE COMMON UNIT #5,0,,,6/2/24
55,201,35,60,,0,,,,,,,,6 ON THE COMMON UNIT #6,0,,,6/2/24
56,201,36,,,0.18,,,,,,,,4 ON THE COMMON,67,,,6/2/24
57,201,37,,,1.4,,,,,,,,2 ON THE COMMON,254.5,,Corner lot,6/2/24
58,201,38,,,0.44,,E,,,,,,38 UNION ST (LIBRARY),103.5,,Lyme Library,6/2/24
59,201,39,,,0.39,,,,,,,,36 UNION ST,75,,,6/2/24
60,201,40,,,1.55,,,,,,,,32 UNION ST,105.7,,,6/2/24
,201,41,,NoParcel,,,,,,,,,,0,,,6/2/24
62,201,42,,,0.46,,,,,,,,30 UNION ST,80,,,6/2/24
63,201,43,,,2.55,,,,,,,,28 UNION ST,121.9,,,6/2/24
64,201,44,,,1.6,,,,,,,,26 UNION ST,62,,,6/2/24
65,201,45,,,1.1,,,,,,,,24 UNION ST,128.4,,,6/2/24
66,201,46,,,1.28,,,,,,,,22 UNION ST,309,,,6/2/24
67,201,47,,,12.82,,E,,CE,,,,20 UNION ST (BIG ROCK),455.82,,Big Rock Preserve,6/2/24
68,201,48,,,2.3,,,,,,,,5 BROOK LN,320,,Frontage on Brook Road????,6/2/24
69,201,49,,,0.41,,E,,,,,,4 BROOK LN,260,,State Land by Brook Road,6/2/24
,201,50,,,0.81,,,,,,,,,61.6,,Not in Vision?,6/2/24
76,201,51,1000,,2,,,ME,,,,,11 UNION ST,294.4,,,6/2/24
77,201,51,2000,,2.07,,,ME,,,,,13 UNION ST,81.3,,,6/2/24
78,201,52,,,1,,,,,,,,15 UNION ST,115,,,6/2/24
79,201,53,,,0.99,,,,,,,,17 UNION ST,100,,,6/2/24
80,201,54,,,18,,,,,,,,21 UNION ST,260,,,6/2/24
81,201,55,,,1.4,,,,,,,,25 UNION ST,170.28,,,6/2/24
82,201,56,,,0.67,,,,,,,,27 UNION ST,85,,,6/2/24
83,201,57,,,0.44,,,,,,,,29 UNION ST,78,,,6/2/24
84,201,58,,,6.8,,E,,,,,,35 UNION ST (ELEM SCHOOL),415,,Lyme School,6/2/24
85,201,59,,,0.38,,E,,,,,,39 UNION ST (LITTLE COMMON),280,,Little Town Common,6/2/24
86,201,60,,,1.1,,,,,,,,37 UNION ST,345,,,6/2/24
87,201,61,,,1.5,,,,,,,,19 EAST THETFORD RD,365,,,6/2/24
88,201,62,,,0.26,,,,,,,,1 HAMILTON LN,80,,,6/2/24
89,201,63,,,57,,,,,,,,7 HAMILTON LN,38,,Hamilton Lane dead ends into it????,6/2/24
,201,64,,NoParcel,,,,,,,,,,0,,,6/2/24
91,201,65,,,0.81,,,,,,,,2 HAMILTON LN,82.82,,,6/2/24
92,201,66,,,0.67,,,,,,,,8 EAST THETFORD RD,80.1,,,6/2/24
93,201,67,,,0.7,,,,,,,,6 EAST THETFORD RD,97.27,,,6/2/24
94,201,68,,,0.55,,,,,,,,4 EAST THETFORD RD,57,,,6/2/24
95,201,69,,,0.72,,,,,,,,2 EAST THETFORD RD,140,,,6/2/24
99,201,70,10,,0,,,,,,,,1 MAIN ST (33% INT),90,,TWO LOTS???,6/2/24
101,201,70,20,,0,,,,,,,,1 MAIN ST (67% INT),90,,70.1000 & 70.2000???,6/2/24
102,201,71,,,0.63,,E,,,,,,3 MAIN ST,90,,Park 'N Ride,6/2/24
103,201,72,,,1.4,,,ME,,,,,10 LATHAM LN,66,,Stella's back lot,6/2/24
104,201,73,,,0.96,,,,,,,,5 MAIN ST,126.5,,,6/2/24
105,201,74,,,0.4,,,,,,,,7 MAIN ST,80,,,6/2/24
106,201,75,,,5.4,,,,,,,,9 MAIN ST ST,220,,,6/2/24
107,201,76,,,0.31,,,,,,,,13 MAIN ST,83.8,,,6/2/24
101162,201,77,E,,0.8,,,,,,,,15 MAIN ST,175,,,6/2/24
103117,201,77,T,,0.14,,,,,,,,15 MAIN ST,0,,,6/2/24
111,201,78,,,3.7,,E,,,,,,1 PLEASANT ST (OLD CEMETERY,665,,Cemetery,6/2/24
115,201,79,1000,,22,,,,,,,,21 PLEASANT ST,760,,,6/2/24
116,201,79,2000,,2.08,,,,,,,,23 PLEASANT ST,0,,No frontage????,6/2/24
117,201,80,10,,0,,,,,,,,25 PLEASANT ST,250,,CONDO?,6/2/24
101602,201,80,20,,0,,,,,,,,27 PLEASANT ST,0,,,6/2/24
118,201,81,,,5.3,,,,,,,,7 BRITTON LN,1214.3,,,6/2/24
,201,82,,NoParcel,,,,,,,,,,0,,,6/2/24
120,201,83,,,4.2,,,ME,,,,,4 BRITTON LN,328.7,,,6/2/24
121,201,84,,,1.4,,,,,,,,34 PLEASANT ST,230,,,6/2/24
122,201,85,,,0.7,,,,,,,,32 PLEASANT ST,70,,,6/2/24
123,201,86,,,0.69,,,,,,,,30 PLEASANT ST,90,,,6/2/24
124,201,87,,,1,,,,,,,,26+28 PLEASANT ST,180,,,6/2/24
125,201,88,,,2.3,,,,,,,,24 PLEASANT ST,192.8,,,6/2/24
,201,89,,NoParcel,,,,,,,,,,0,,,6/2/24
127,201,90,,,0.9,,,,,,,,16 PLEASANT ST,193.2,,,6/2/24
128,201,91,,,0.8,,,,,,,,12+14 PLEASANT ST,140,,,6/2/24
129,201,92,,,1.3,,,,,,,,10 PLEASANT ST,210,,,6/2/24
132,201,93,100,,0.16,,,,,,,,6 JOHN THOMSON WY (L/O),245,,Horse Sheds,6/2/24
133,201,93,200,,0,,,,,,,,6 JOHN THOMSON WY(HORSESHD),0,,,6/2/24
136,201,94,100,,0.07,,,,,,,,2 PLEASANT ST (JAILHOUSE),0,,Jail House,6/2/24
137,201,94,200,,1.85,,E,,,,,,4 JOHN THOMSON WY,13.8,,American Legion - WRONG MBLU on map,6/2/24
138,201,95,,,0.33,,E,,,,,,1 DORCHESTER RD,605,,LCC,6/2/24
139,201,96,,,0.09,,,,,,,,5 DORCHESTER RD,95,,Bargain Barn,6/2/24
140,201,97,,,0.31,,,,,,,,7 DORCHESTER RD,120,,,6/2/24
,201,98,,NoParcel,,,,,,,,,,0,,,6/2/24
142,201,99,,,1.71,,,,,,,,11 DORCHESTER RD,350,,,6/2/24
143,201,100,,,1.5,,,,,,,,19 DORCHESTER RD,215,,,6/2/24
144,201,101,,,0.43,,,,,,,,21 DORCHESTER RD,161,,,6/2/24
148,201,102,1000,,1.37,,,,,,,,50 HIGH ST,600,,Corner lot,6/2/24
149,201,102,2000,,1.51,,,,,,,,48 HIGH ST,140.1,,,6/2/24
150,201,103,,,1.28,,E,,,,,,44 HIGH ST (FIRE STATION),240.28,,,6/2/24
151,201,104,,,10,,,,,,,,40 HIGH ST,73.12,,,6/2/24
152,201,105,,,0.22,,,,,,,,38 HIGH ST,75,,,6/2/24
153,201,106,,,0.66,,,,,,,,36 HIGH ST,148.5,,,6/2/24
154,201,107,,,0.52,,,,,,,,32 HIGH ST,0,,Landlocked,6/2/24
,201,108,,NoParcel,,,,,,,,,,0,,,6/2/24
159,201,109,1000,,1.96,,E,,,,,,30 HIGH ST,456.7,,St of NH,6/2/24
,201,109,2000,NoParcel,,,,,,,,,,0,,,6/2/24
161,201,110,1000,,3.47,,E,,,,,,24 HIGH ST (HIGHWAY GARAGE),243,,Town Garage,6/2/24
102712,201,110,2000,,6.57,,E,,,,,,24 HIGH ST (HIGHLAND CEMETER,188.3,,Highland Cemetery,6/2/24
