Municipality,Year,"RSA 79-A Current
Use
Land","RSA 79-B Conservation Restriction 
Land
","RSA 79-C Discretionary Easement 
Land","RSA 79-D Discretionary Preservation Easement
Land","RSA 79-F
Land
Under
Farm Structures","Residential 
Land","Commercial / Industrial
Land","Residential
Buildings",Manufactured Housing,"Commercial / Industrial
Buildings","RSA 79-D
Discretionary
Preservation Easement 
Buildings ","RSA 79-F
Farm Structures
","Public
Water
Utilities","Gas / Oil
Utilities","Electric
Utilities",Other,"Mature
Wood
Timber","Gross
Valuation","Educational
& Special Exemptions","Modified
Assessed
Valuation
","Blind
Exemption","Elderly
Exemption","Local
Optional Exemptions
","Net
Valuation","Gross
Property
Taxes
","Less
Veterans'
Credits

","Net
Tax
Commitment","2022
Tax
Rate","2022
Residents
Tax",CollectedOn
Acworth,2022,1464740,0,0,0,0,36750900,757600,74853400,1420500,3141400,0,0,0,0,3793700,0,0,122182240,0,122182240,0,145000,0,122182240,3149388,12200,3137188,25.81,0,2024-03-19
Albany,2022,199542,0,0,0,0,38874600,5653700,69325922,2267800,14870100,0,0,263801,0,2892600,0,0,134348065,0,134348065,0,11200,0,134336865,1460485,15500,1444985,10.90,0,2024-03-19
Alexandria,2022,1396125,0,0,0,0,85245200,2294400,177847800,7925900,4779900,0,0,0,0,17872400,0,0,297361725,0,297361725,15000,1110000,120000,296116725,5420541,39160,5381381,18.37,0,2024-03-19
Allenstown,2022,269193,528,0,0,0,138443400,29035900,211438600,56021100,72763800,0,0,0,3346200,6658400,0,0,517977121,0,517977121,15000,1365000,114040,516483081,9981734,97000,9884734,19.50,0,2024-03-19
Alstead,2022,1380365,35647,0,0,0,66440300,1019600,114193682,2541200,3845800,17820,0,0,0,5028500,0,0,194502914,0,194502914,0,237500,175800,194089614,4776132,29600,4746532,24.64,0,2024-03-19
Alton,2022,1471408,69438,0,11300,0,1193004900,41085800,868090403,16065400,47408600,50100,0,0,0,12649900,0,0,2179907249,450000,2179457249,30000,2097800,566901,2176762548,24734105,322400,24411705,11.37,0,2024-03-19
Amherst,2022,768200,15800,0,0,0,606727651,69986125,1452414671,6120300,175187350,0,0,10160900,5742400,50086400,0,0,2377209797,664000,2376545797,202760,12626100,732700,2362984237,49852649,378500,49474149,21.13,0,2024-03-19
Andover,2022,902849,0,0,100,0,103011400,5553200,158948154,3648000,21115900,4946,0,0,0,30880100,0,0,324064649,150000,323914649,0,760000,928900,322225749,6787820,54500,6733320,21.19,0,2024-03-19
Antrim,2022,811447,0,0,51680,47800,80962654,4081917,146894540,1637370,11788960,25770,27630,0,0,22297700,0,0,268627468,75000,268552468,0,685200,208410,267658858,7424644,72000,7352644,27.86,0,2024-03-19
Ashland,2022,164292,0,0,0,0,76407600,12407000,130499180,3311420,26899910,0,0,0,0,9272600,0,0,258962002,726950,258235052,45000,200000,0,257990052,7176645,52500,7124145,27.87,0,2024-03-19
Atkinson,2022,122811,0,0,225,0,520249400,24882600,964930974,0,46168400,18626,0,7074800,2574800,9297000,0,0,1575319636,70000,1575249636,45000,6773500,187700,1568243436,19223211,286498,18936713,12.27,0,2024-03-19
Atkinson & Gilmanton ,2022,320956,0,0,0,0,246300,0,218120,0,0,0,0,0,0,0,0,0,785376,0,785376,0,0,0,785376,0,0,0,0.00,0,2024-03-19
