Map,Lot-unit,Lot,Unit,MaxLotCoverage,RoadFrontage,LotCoverage,ParcelArea,OverallRating,SepticGPDRating,MaxLotCovRating,RoadFrontageRating,UsedLotCovRating,ParcelAreaRating,NewUnits,ConversionUnits,CollectedOn
201,109.1,109,1000,6000,460,7232,80360,0,2,5,3,3,4,0,0,2024-06-22
201,110.1,110,1000,6000,268,9855,148917,0,1,5,2,4,5,0,0,2024-06-22
201,110.2,110,2000,6000,178,576,278812,0,4,5,2,1,5,0,0,2024-06-22
201,115,115,,858,351,0,16577,0,1,1,3,0,2,0,0,2024-06-22
201,116,116,,190,216,0,1582,0,1,1,2,0,1,0,0,2024-06-22
201,120,120,,6000,395,6880,112688,0,2,5,3,3,5,0,0,2024-06-22
201,28,28,,6000,1892,0,63155,0,1,5,5,0,4,0,0,2024-06-22
201,31.2,31,2000,6000,23,0,437327,0,2,5,1,0,5,0,0,2024-06-22
201,38,38,,1091,103,3916,19967,0,1,1,1,2,2,0,0,2024-06-22
201,47,47,,6000,453,0,558892,0,3,5,3,0,5,0,0,2024-06-22
201,50,50,,1155,45,240,35104,0,1,2,1,1,3,0,0,2024-06-22
201,58,58,,6000,800,28811,296292,0,4,5,4,4,5,0,0,2024-06-22
201,59,59,,2068,279,0,17234,0,1,2,2,0,2,0,0,2024-06-22
201,63,63,,6000,19,3760,2479060,0,5,5,1,2,5,0,0,2024-06-22
201,78,78,,6000,667,300,159684,0,2,5,4,1,5,0,0,2024-06-22
201,93,93,,778,250,0,6483,0,1,1,2,0,1,0,0,2024-06-22
201,94.01,94,1,412,140,192,3431,0,1,1,1,1,1,0,0,2024-06-22
201,95,95,,1727,618,5687,14394,0,1,2,4,3,2,0,0,2024-06-22
201,105,105,,1106,70,1940,9214,1,1,2,1,1,1,0,0,2024-06-22
201,12.2,12,2000,278,26,1464,2318,1,1,1,1,1,1,0,0,2024-06-22
201,36,36,,955,65,3234,7959,1,1,1,1,2,1,0,0,2024-06-22
