MS1_Year,MS1_Null,MS1_Row,MS1_Description,MS1_AC_CT,MS1_Valuation,MS1_Key,MS1_Category
Year,,,,Acres,Valuation,Key,Category
2013,,1A,Current Use Land RSA 79-A,26165,"2,069,800 ",Acres / Valuation,Land Value
2013,,1B,Conservation Restriction Assessment RSA 79-B,132,"12,000 ",Acres / Valuation,Land Value
2013,,1C,Discretionary Easements RSA 79-C,0,0 ,Acres / Valuation,Land Value
2013,,1D,Discretionary Preservation Easements RSA 79-D,1,"30,500 ",Acres / Valuation,Land Value
2013,,1E,Taxation of Land under Farm Structures RSA 79-F,0,0 ,Acres / Valuation,Land Value
2013,,1F,Residential Land,2364,"116,772,800 ",Acres / Valuation,Land Value
2013,,1G,Commercial/Industrial Land,86,"5,730,400 ",Acres / Valuation,Land Value
2013,,1H,Total of Taxable Land,28748,"124,615,500 ",Acres / Valuation,Land Value
2013,,1I,Tax Exempt and Non-Taxable Land,5268,"15,085,800 ",Acres / Valuation,Land Value
2013,,,,,,,
2013,Buildings Value Only,,,Structures,Valuation,,
2013,,2A,Residential,0,"185,173,000 ",Structures / Valuation,Building Value
2013,,2B,Manufactured Housing,0,"977,500 ",Structures / Valuation,Building Value
2013,,2C,Commercial/Industrial,0,"13,414,200 ",Structures / Valuation,Building Value
2013,,2D,Discretionary Preservation Easements,0,"73,300 ",Structures / Valuation,Building Value
2013,,2E,Taxation of Farm Structures,0,0 ,Structures / Valuation,Building Value
2013,,2F,Total of Taxable Buildings,0,"199,638,000 ",Structures / Valuation,Building Value
2013,,2G,Tax Exempt and Non-Taxable Buildings,0,"16,354,200 ",Structures / Valuation,Building Value
2013,,,,,,,
2013,Utilities & Timber,,,,,,
2013,,3A,Utilities,,"565,700 ",--- / Valuation,Util&Timber
2013,,3B,Other Utilities,,0 ,,Util&Timber
2013,,4,Mature Wood and Timber,,0 ,,Util&Timber
2013,,,,,,,
2013,,5,Valuation before Exemption,,"329,911,000 ",--- / Valuation,Value before Exemption
2013,,,,,,,
2013,Exemptions,,,Total,,,
2013,,6,Certain Disabled Veterans,0,0 ,Count / Valuation,Exemption
2013,,7,Improvements to Assist the Deaf,0,0 ,Count / Valuation,Exemption
2013,,8,Improvements to Assist Persons with Disabilities,0,0 ,Count / Valuation,Exemption
2013,,9,School Dining/Dormitory/Kitchen Exemption,0,0 ,Count / Valuation,Exemption
2013,,10A,Non-Utility Water & Air Pollution Control Exempt.,0,0 ,Count / Valuation,Exemption
2013,,10B,Utility Water & Air Pollution Control Exemption,0,0 ,Count / Valuation,Exemption
2013,,,,,,,
2013,,11,Modified Assessed Value,,"329,911,000 ",--- / Valuation,Mod Assess Value
2013,Optional Exemptions,,,,,,
2013,,12,Blind Exemption $67500,2,"135,000 ",Count / Valuation,Exemption
2013,,13,Elderly Exemption,20,"3,140,200 ",Count / Valuation,Exemption
2013,,14,Deaf Exemption,0,0 ,Count / Valuation,Exemption
2013,,15,"Disabled Exemption $135,000",3,"405,000 ",Count / Valuation,Exemption
2013,,16,Wood Heating Energy Systems Exemption,0,0 ,Count / Valuation,Exemption
2013,,17,Solar Energy Systems Exemption,0,0 ,Count / Valuation,Exemption
2013,,18,Wind Powered Energy Systems Exemption,0,0 ,Count / Valuation,Exemption
2013,,19,Additional School/Dining/Dorm/Kitchen Exemptions,0,0 ,Count / Valuation,Exemption
2013,,19A,Electric Energy Storage Systems,0,0 ,Count / Valuation,Exemption
2013,,19B,Renewable Generation Facility & Elec. Energy Sys,0,0 ,Count / Valuation,Exemption
2013,,,,,,,
2013,,20,Total Dollar amount of Exemptions,,"3,680,200 ",--- / Valuation,Total Exemption
2013,,21A,Net Valuation,,"326,230,800 ",--- / Valuation,Valuations
2013,,21B,Less TIF Related Value,,,--- / Valuation,Valuations
2013,,21C,Net Valuation Adj to remove TIF Retained Value,,,--- / Valuation,Valuations
2013,,21D,Less Commercial/Industrial Construction Exemption,,0 ,--- / Valuation,Valuations
2013,,21E,Net Valuation Adj. to Remove TIF and Comm/Ind,,0 ,--- / Valuation,Valuations
2013,,22,Less Utilities,,"5,657,500 ",--- / Valuation,Valuations
2013,,23A,Net Valuation without Utilities,,"320,573,300 ",--- / Valuation,Valuations
2013,,23B,"Net Valuation without Util, Adj. to remove TIF",,0 ,--- / Valuation,Valuations
,,,,,,,
Year,,,,Acres,Valuation,Key,Category
2014,,1A,Current Use Land RSA 79-A,26192,"2,032,900 ",Acres / Valuation,Land Value
2014,,1B,Conservation Restriction Assessment RSA 79-B,108,"10,300 ",Acres / Valuation,Land Value
2014,,1C,Discretionary Easements RSA 79-C,0,0 ,Acres / Valuation,Land Value
2014,,1D,Discretionary Preservation Easements RSA 79-D,1,"28,300 ",Acres / Valuation,Land Value
2014,,1E,Taxation of Land under Farm Structures RSA 79-F,1.26,"1,300 ",Acres / Valuation,Land Value
2014,,1F,Residential Land,2361,"117,137,000 ",Acres / Valuation,Land Value
2014,,1G,Commercial/Industrial Land,86,"5,730,400 ",Acres / Valuation,Land Value
2014,,1H,Total of Taxable Land,28749.26,"124,940,200 ",Acres / Valuation,Land Value
2014,,1I,Tax Exempt and Non-Taxable Land,5268,"15,085,800 ",Acres / Valuation,Land Value
2014,,,,,,,
2014,,,,Structures,Valuation,,
2014,,2A,Residential,0,"188,105,200 ",Structures / Valuation,Building Value
2014,,2B,Manufactured Housing,0,"966,400 ",Structures / Valuation,Building Value
2014,,2C,Commercial/Industrial,0,"13,022,900 ",Structures / Valuation,Building Value
2014,,2D,Discretionary Preservation Easements,10,"92,600 ",Structures / Valuation,Building Value
2014,,2E,Taxation of Farm Structures,7,"117,500 ",Structures / Valuation,Building Value
2014,,2F,Total of Taxable Buildings,0,"202,304,600 ",Structures / Valuation,Building Value
2014,,2G,Tax Exempt and Non-Taxable Buildings,0,"16,354,200 ",Structures / Valuation,Building Value
2014,,,,,,,
2014,,,,,,,
2014,,3A,Utilities,,"4,880,600 ",--- / Valuation,Util&Timber
2014,,3B,Other Utilities,,0 ,,Util&Timber
2014,,4,Mature Wood and Timber,,0 ,,Util&Timber
2014,,,,,,,
2014,,5,Valuation before Exemption,,"332,125,400 ",--- / Valuation,Value before Exemption
2014,,,,,,,
2014,,,,Total,,,
2014,,6,Certain Disabled Veterans,0,0 ,Count / Valuation,Exemption
2014,,7,Improvements to Assist the Deaf,0,0 ,Count / Valuation,Exemption
2014,,8,Improvements to Assist Persons with Disabilities,0,0 ,Count / Valuation,Exemption
2014,,9,School Dining/Dormitory/Kitchen Exemption,0,0 ,Count / Valuation,Exemption
2014,,10A,Non-Utility Water & Air Pollution Control Exempt.,0,0 ,Count / Valuation,Exemption
2014,,10B,Utility Water & Air Pollution Control Exemption,0,0 ,Count / Valuation,Exemption
2014,,,,,,,
2014,,11,Modified Assessed Value,,0 ,--- / Valuation,Mod Assess Value
2014,,,,,,,
2014,,12,"Blind Exemption $67,500",3,"139,700 ",Count / Valuation,Exemption
2014,,13,Elderly Exemption,17,"2,738,000 ",Count / Valuation,Exemption
2014,,14,Deaf Exemption,0,0 ,Count / Valuation,Exemption
2014,,15,"Disabled Exemption $135,000",2,"270,000 ",Count / Valuation,Exemption
2014,,16,Wood Heating Energy Systems Exemption,0,0 ,Count / Valuation,Exemption
2014,,17,Solar Energy Systems Exemption,0,0 ,Count / Valuation,Exemption
2014,,18,Wind Powered Energy Systems Exemption,0,0 ,Count / Valuation,Exemption
2014,,19,Additional School/Dining/Dorm/Kitchen Exemptions,0,0 ,Count / Valuation,Exemption
2014,,19A,Electric Energy Storage Systems,0,0 ,Count / Valuation,Exemption
2014,,19B,Renewable Generation Facility & Elec. Energy Sys,0,0 ,Count / Valuation,Exemption
2014,,,,,,,
2014,,20,Total Dollar amount of Exemptions,,"3,147,700 ",--- / Valuation,Total Exemption
2014,,21A,Net Valuation,,"328,977,700 ",--- / Valuation,Valuations
2014,,21B,Less TIF Related Value,,,--- / Valuation,Valuations
2014,,21C,Net Valuation Adj to remove TIF Retained Value,,,--- / Valuation,Valuations
2014,,21D,Less Commercial/Industrial Construction Exemption,,0 ,--- / Valuation,Valuations
2014,,21E,Net Valuation Adj. to Remove TIF and Comm/Ind,,,--- / Valuation,Valuations
2014,,22,Less Utilities,,"4,880,600 ",--- / Valuation,Valuations
2014,,23A,Net Valuation without Utilities,,"324,097,100 ",--- / Valuation,Valuations
2014,,23B,"Net Valuation without Util, Adj. to remove TIF",,0 ,--- / Valuation,Valuations
,,,,,,,
Year,,,,Acres,Valuation,Key,Category
2015,,1A,Current Use Land RSA 79-A,26246,"2,031,400 ",Acres / Valuation,Land Value
2015,,1B,Conservation Restriction Assessment RSA 79-B,108,"10,400 ",Acres / Valuation,Land Value
2015,,1C,Discretionary Easements RSA 79-C,0,0 ,Acres / Valuation,Land Value
2015,,1D,Discretionary Preservation Easements RSA 79-D,1,"28,700 ",Acres / Valuation,Land Value
2015,,1E,Taxation of Land under Farm Structures RSA 79-F,0,0 ,Acres / Valuation,Land Value
2015,,1F,Residential Land,2317,"116,858,900 ",Acres / Valuation,Land Value
2015,,1G,Commercial/Industrial Land,86,"5,807,800 ",Acres / Valuation,Land Value
2015,,1H,Total of Taxable Land,28758,"124,737,200 ",Acres / Valuation,Land Value
2015,,1I,Tax Exempt and Non-Taxable Land,5268,"15,085,800 ",Acres / Valuation,Land Value
2015,,,,,,,
2015,,,,Structures,Valuation,,
2015,,2A,Residential,0,"190,007,000 ",Structures / Valuation,Building Value
2015,,2B,Manufactured Housing,0,"966,400 ",Structures / Valuation,Building Value
2015,,2C,Commercial/Industrial,0,"12,536,800 ",Structures / Valuation,Building Value
2015,,2D,Discretionary Preservation Easements,12,"92,800 ",Structures / Valuation,Building Value
2015,,2E,Taxation of Farm Structures,0,0 ,Structures / Valuation,Building Value
2015,,2F,Total of Taxable Buildings,0,"203,603,000 ",Structures / Valuation,Building Value
2015,,2G,Tax Exempt and Non-Taxable Buildings,0,"16,354,200 ",Structures / Valuation,Building Value
2015,,,,,,,
2015,,,,,,,
2015,,3A,Utilities,,"5,514,600 ",--- / Valuation,Util&Timber
2015,,3B,Other Utilities,,0 ,,Util&Timber
2015,,4,Mature Wood and Timber,,0 ,,Util&Timber
2015,,,,,,,
2015,,5,Valuation before Exemption,,"333,854,800 ",--- / Valuation,Value before Exemption
2015,,,,,,,
2015,,,,Total,,,
2015,,6,Certain Disabled Veterans,0,0 ,Count / Valuation,Exemption
2015,,7,Improvements to Assist the Deaf,0,0 ,Count / Valuation,Exemption
