Municipality,Year,DateComputed,Valuation,Valuation w/ Utils,Municipal,County,State Ed.,Local Ed.,Total Rate,Total Commitment,CollectedOn
Acworth,2020,2020-10-27,96467920,100103637,9.66,2.60,1.97,15.14,29.37,2921681,2023-11-07
Albany,2020,2020-10-27,126836821,130141621,2.20,1.08,1.71,7.06,12.05,1546965,2023-11-07
Alexandria,2020,2020-11-04,183708077,198181477,9.32,1.99,2.20,14.41,27.92,5460145,2023-11-07
Allenstown,2020,2020-11-04,290837887,299434087,9.62,2.76,2.03,14.89,29.30,8652469,2023-11-07
Alstead,2020,2020-12-09,188801709,193481509,5.51,3.46,1.92,13.53,24.42,4692133,2023-11-07
Alton,2020,2020-11-03,1759508114,1769435614,4.25,1.27,2.02,6.41,13.95,24335622,2023-11-07
Amherst,2020,2020-10-29,1698425800,1745846700,5.60,1.20,2.15,19.53,28.48,49267259,2023-11-07
Andover,2020,2020-11-23,287229162,308949462,4.15,2.47,1.96,12.76,21.34,6661925,2023-11-07
Antrim,2020,2020-11-18,239792264,254807364,10.57,1.13,2.05,14.80,28.55,7175969,2023-11-07
Ashland,2020,2020-11-17,243794836,250961136,10.39,1.71,1.96,14.37,28.43,7066530,2023-11-07
Atkinson,2020,2020-11-03,1005666533,1018252133,3.10,0.98,2.10,12.16,18.34,18439900,2023-11-07
Atkinson & Gilmanton Academy Grant (U),2020,2020-11-25,774325,774325,-5.12,5.12,1.97,-1.97,0.00,0,2023-11-07
Auburn,2020,2020-10-28,861073277,874971877,3.22,0.91,1.91,12.44,18.48,15960933,2023-11-07
Barnstead,2020,2020-11-16,595581071,605816952,5.23,1.18,1.86,14.83,23.10,13798833,2023-11-07
Barrington,2020,2020-10-20,1136816135,1157694621,3.69,2.48,1.89,14.71,22.77,25996196,2023-11-07
Bartlett,2020,2020-12-14,1064117913,1073899013,1.54,1.32,2.14,4.66,9.66,10727392,2023-11-07
Bath,2020,2020-10-14,106882843,125216843,4.92,1.86,1.94,14.14,22.86,2813489,2023-11-07
Bean's Grant (U),2020,2020-11-25,1,1,0.00,0.00,0.00,0.00,0.00,0,2023-11-07
Bean's Purchase (U),2020,2020-11-25,1,1,0.00,0.00,0.00,0.00,0.00,0,2023-11-07
Bedford,2020,2020-10-20,4026116157,4092109157,4.24,1.07,2.00,12.71,20.02,81292539,2023-11-07
Belmont,2020,2020-10-27,721057126,734861120,8.34,1.28,2.02,13.70,25.34,18339796,2023-11-07
Bennington,2020,2020-12-02,125119139,128652139,10.99,1.02,1.86,15.52,29.39,3731435,2023-11-07
Benton,2020,2020-11-12,24682989,25642989,-3.92,1.79,2.06,17.97,17.90,455732,2023-11-07
Berlin,2020,2020-11-24,330658323,478007523,19.02,4.63,1.92,10.36,35.93,16819600,2023-11-07
Bethlehem,2020,2020-12-01,269258124,277502024,7.15,1.77,1.90,14.38,25.20,6972306,2023-11-07
Boscawen,2020,2020-11-09,282616655,294189355,8.25,2.55,1.88,14.11,26.79,7780326,2023-11-07
Bow,2020,2020-12-04,1168733773,1272627173,7.11,2.54,1.89,14.04,25.58,32132445,2023-11-07
Bradford,2020,2020-11-23,244734380,249477480,8.90,2.49,1.67,10.80,23.86,5899803,2023-11-07
Brentwood,2020,2020-11-10,676893590,708407990,3.88,0.83,1.83,16.65,23.19,16262210,2023-11-07
