App. Year	Improvements	Land	Total	PID	CollectedOn
2023	93700	167600	261300	5	2023-12-18
2022	93700	167600	261300	5	2023-12-18
2021	93700	167600	261300	5	2023-12-18
2023	77200	104600	181800	7	2023-12-18
2022	77200	104600	181800	7	2023-12-18
2021	77200	104600	181800	7	2023-12-18
2023	114000	140400	254400	8	2023-12-18
2022	114000	140400	254400	8	2023-12-18
2021	114000	140400	254400	8	2023-12-18
2023	112100	157900	270000	9	2023-12-18
2022	112100	157900	270000	9	2023-12-18
2021	108900	157900	266800	9	2023-12-18
2023	254100	163000	417100	10	2023-12-18
2022	254100	163000	417100	10	2023-12-18
2021	254100	163000	417100	10	2023-12-18
2023	261800	225200	487000	12	2023-12-18
2022	261800	225200	487000	12	2023-12-18
2021	261800	225200	487000	12	2023-12-18
2023	275700	280700	556400	13	2023-12-18
2022	275700	280700	556400	13	2023-12-18
2021	275700	280700	556400	13	2023-12-18
2023	1016100	385700	1401800	16	2023-12-18
2022	1016100	385700	1401800	16	2023-12-18
2021	1016100	385700	1401800	16	2023-12-18
2023	194000	122600	316600	18	2023-12-18
2022	194000	139100	333100	18	2023-12-18
2021	162500	139100	301600	18	2023-12-18
2023	125000	106300	231300	19	2023-12-18
2022	125000	62300	187300	19	2023-12-18
2021	91700	62300	154000	19	2023-12-18
2023	381400	234400	615800	20	2023-12-18
2022	381400	234400	615800	20	2023-12-18
2021	381400	234400	615800	20	2023-12-18
2023	398100	288400	686500	21	2023-12-18
2022	398100	288400	686500	21	2023-12-18
2021	398100	288400	686500	21	2023-12-18
2023	269300	179700	449000	22	2023-12-18
2022	269300	179700	449000	22	2023-12-18
2021	269300	179700	449000	22	2023-12-18
2023	233100	245600	478700	23	2023-12-18
2022	233100	245600	478700	23	2023-12-18
2021	233100	245600	478700	23	2023-12-18
2023	392500	170500	563000	25	2023-12-18
2022	378700	170500	549200	25	2023-12-18
2021	410600	170500	581100	25	2023-12-18
2023	144700	205300	350000	26	2023-12-18
2022	144700	205300	350000	26	2023-12-18
2021	151100	205300	356400	26	2023-12-18
2023	327100	210000	537100	27	2023-12-18
2022	327100	210000	537100	27	2023-12-18
2021	326700	210000	536700	27	2023-12-18
2023	302000	244000	546000	28	2023-12-18
2022	298800	244000	542800	28	2023-12-18
2021	292900	244000	536900	28	2023-12-18
2023	420400	235700	656100	29	2023-12-18
2022	420400	235700	656100	29	2023-12-18
2021	420400	235700	656100	29	2023-12-18
2023	275300	218200	493500	30	2023-12-18
2022	275300	218200	493500	30	2023-12-18
2021	275800	218200	494000	30	2023-12-18
2023	136200	146800	283000	32	2023-12-18
2022	131000	146800	277800	32	2023-12-18
2021	131000	146800	277800	32	2023-12-18
2023	176400	151600	328000	33	2023-12-18
2022	176400	151600	328000	33	2023-12-18
2021	176400	151600	328000	33	2023-12-18
2023	395200	157700	552900	34	2023-12-18
2022	395200	157700	552900	34	2023-12-18
2021	395200	157700	552900	34	2023-12-18
2023	0	29200	29200	35	2023-12-18
2022	0	29200	29200	35	2023-12-18
2021	0	29200	29200	35	2023-12-18
2023	377800	416200	794000	36	2023-12-18
2022	303000	416200	719200	36	2023-12-18
2021	303000	416200	719200	36	2023-12-18
2023	297500	353000	650500	37	2023-12-18
2022	297500	353000	650500	37	2023-12-18
2021	297500	353000	650500	37	2023-12-18
2023	891600	237000	1128600	39	2023-12-18
2022	569100	237000	806100	39	2023-12-18
2021	339700	237000	576700	39	2023-12-18
2023	0	43000	43000	40	2023-12-18
2022	0	43000	43000	40	2023-12-18
2021	0	43000	43000	40	2023-12-18
2023	447000	186000	633000	41	2023-12-18
2022	447000	186000	633000	41	2023-12-18
2021	447000	186000	633000	41	2023-12-18
2023	269800	218700	488500	42	2023-12-18
2022	269800	218700	488500	42	2023-12-18
2021	269800	218700	488500	42	2023-12-18
2023	137300	208300	345600	43	2023-12-18
2022	137300	208300	345600	43	2023-12-18
2021	137300	208300	345600	43	2023-12-18
2023	194300	0	194300	50	2023-12-18
2022	194300	0	194300	50	2023-12-18
2021	194300	0	194300	50	2023-12-18
2023	197400	0	197400	51	2023-12-18
2022	197400	0	197400	51	2023-12-18
2021	197400	0	197400	51	2023-12-18
2023	184100	0	184100	52	2023-12-18
2022	184100	0	184100	52	2023-12-18
2021	184100	0	184100	52	2023-12-18
2023	208500	0	208500	53	2023-12-18
2022	208500	0	208500	53	2023-12-18
2021	208500	0	208500	53	2023-12-18
2023	179900	0	179900	54	2023-12-18
2022	179900	0	179900	54	2023-12-18
2021	179900	0	179900	54	2023-12-18
2023	195600	0	195600	55	2023-12-18
2022	195600	0	195600	55	2023-12-18
2021	195600	0	195600	55	2023-12-18
2023	1025200	234500	1259700	56	2023-12-18
2022	976100	234500	1210600	56	2023-12-18
2021	926400	234500	1160900	56	2023-12-18
2023	734700	230000	964700	57	2023-12-18
2022	734700	230000	964700	57	2023-12-18
2021	734700	230000	964700	57	2023-12-18
2023	653600	262000	915600	58	2023-12-18
2022	653600	262000	915600	58	2023-12-18
2021	653600	262000	915600	58	2023-12-18
2023	355300	156500	511800	59	2023-12-18
2022	355300	156500	511800	59	2023-12-18
2021	355300	156500	511800	59	2023-12-18
2023	485100	218900	704000	60	2023-12-18
2022	485100	218900	704000	60	2023-12-18
2021	485100	218900	704000	60	2023-12-18
2023	515100	163900	679000	62	2023-12-18
2022	498400	163900	662300	62	2023-12-18
2021	485300	163900	649200	62	2023-12-18
2023	258400	232100	490500	63	2023-12-18
2022	258400	232100	490500	63	2023-12-18
2021	258400	232100	490500	63	2023-12-18
2023	103900	218200	322100	64	2023-12-18
2022	103900	218200	322100	64	2023-12-18
2021	103900	218200	322100	64	2023-12-18
2023	482500	228900	711400	65	2023-12-18
2022	436100	228900	665000	65	2023-12-18
2021	316000	228900	544900	65	2023-12-18
2023	218800	230900	449700	66	2023-12-18
2022	218800	230900	449700	66	2023-12-18
2021	218800	230900	449700	66	2023-12-18
2023	0	103200	103200	67	2023-12-18
2022	0	103200	103200	67	2023-12-18
2021	0	103200	103200	67	2023-12-18
2023	127000	157100	284100	68	2023-12-18
2022	127000	157100	284100	68	2023-12-18
2021	127000	157100	284100	68	2023-12-18
2023	0	8600	8600	69	2023-12-18
2022	0	8600	8600	69	2023-12-18
2021	0	8600	8600	69	2023-12-18
2023	519800	234400	754200	76	2023-12-18
2022	519800	234400	754200	76	2023-12-18
2021	519800	234400	754200	76	2023-12-18
2023	343500	234900	578400	77	2023-12-18
2022	343500	234900	578400	77	2023-12-18
2021	343500	234900	578400	77	2023-12-18
2023	173800	216500	390300	78	2023-12-18
2022	173800	216500	390300	78	2023-12-18
2021	173800	216500	390300	78	2023-12-18
2023	116800	216500	333300	79	2023-12-18
2022	116800	216500	333300	79	2023-12-18
2021	116800	216500	333300	79	2023-12-18
2023	301600	317200	618800	80	2023-12-18
2022	301600	317200	618800	80	2023-12-18
2021	301600	317200	618800	80	2023-12-18
2023	92200	233300	325500	81	2023-12-18
2022	92200	233300	325500	81	2023-12-18
2021	139400	290400	429800	81	2023-12-18
2023	217700	199300	417000	82	2023-12-18
2022	217700	199300	417000	82	2023-12-18
2021	217700	199300	417000	82	2023-12-18
2023	190300	161800	352100	83	2023-12-18
2022	190300	161800	352100	83	2023-12-18
2021	189900	161800	351700	83	2023-12-18
2023	3187200	2000100	5187300	84	2023-12-18
2022	3187200	2000100	5187300	84	2023-12-18
2021	3187200	2000100	5187300	84	2023-12-18
2023	0	16900	16900	85	2023-12-18
2022	0	16900	16900	85	2023-12-18
2021	0	16900	16900	85	2023-12-18
2023	471700	228900	700600	86	2023-12-18
2022	471700	228900	700600	86	2023-12-18
2021	471700	228900	700600	86	2023-12-18
2023	379700	256000	635700	87	2023-12-18
2022	379700	256000	635700	87	2023-12-18
2021	379700	256000	635700	87	2023-12-18
2023	43200	113400	156600	88	2023-12-18
2022	43200	113400	156600	88	2023-12-18
2021	43200	113400	156600	88	2023-12-18
2023	269500	375600	645100	89	2023-12-18
2022	252300	375600	627900	89	2023-12-18
2021	252300	375600	627900	89	2023-12-18
2023	526300	277000	803300	91	2023-12-18
2022	526300	277000	803300	91	2023-12-18
2021	526300	277000	803300	91	2023-12-18
2023	77800	179500	257300	92	2023-12-18
2022	77800	179500	257300	92	2023-12-18
2021	77800	179500	257300	92	2023-12-18
2023	548900	204300	753200	93	2023-12-18
2022	548900	204300	753200	93	2023-12-18
2021	475800	204300	680100	93	2023-12-18
2023	385500	179200	564700	94	2023-12-18
2022	385500	179200	564700	94	2023-12-18
2021	385500	179200	564700	94	2023-12-18
2023	410100	207600	617700	95	2023-12-18
2022	410100	207600	617700	95	2023-12-18
2021	410100	207600	617700	95	2023-12-18
2023	328500	0	328500	99	2023-12-18
2022	328500	0	328500	99	2023-12-18
2021	328500	0	328500	99	2023-12-18
2023	543900	0	543900	101	2023-12-18
2022	543900	0	543900	101	2023-12-18
2021	543900	0	543900	101	2023-12-18
2023	7500	104000	111500	102	2023-12-18
2022	7500	104000	111500	102	2023-12-18
2021	7500	104000	111500	102	2023-12-18
2023	121800	185100	306900	103	2023-12-18
