"Municipality
(U) Unincorporated Place",Date,Valuation,"Valuation Including
Utilities",Municipal Tax Rate,"County Tax
Rate","State Education
Tax Rate","Local Education
Tax Rate",Total Tax Rate,Total Commitment
Acworth,12/06/23,"119,325,960","123,119,660",8.42,2.60,1.86,12.45,25.33,"3,096,065"
Albany,10/26/23,"133,633,688","136,422,389",1.46,1.17,1.77,5.68,10.08,"1,357,158"
Alexandria,11/14/23,"282,637,820","298,228,820",5.99,1.30,1.46,9.90,18.65,"5,501,124"
Allenstown,11/02/23,"520,079,617","530,349,917",6.34,1.67,1.25,11.94,21.20,"11,003,382"
Alstead,12/08/23,"189,631,550","193,768,550",6.22,3.65,1.63,13.93,25.43,"4,890,890"
Alton,11/15/23,"2,174,234,415","2,186,371,715",4.44,1.51,1.73,5.50,13.18,"28,463,531"
Amherst,11/03/23,"2,318,721,806","2,390,811,306",4.18,1.10,1.54,15.06,21.88,"51,791,933"
Andover,12/05/23,"293,388,356","318,636,656",6.70,2.68,1.78,11.79,22.95,"7,410,837"
Antrim,12/07/23,"402,669,310","433,680,710",6.52,0.89,1.24,10.09,18.74,"8,019,222"
Ashland,11/27/23,"413,352,758","442,202,158",5.57,1.09,1.31,9.33,17.30,"7,529,054"
Atkinson,10/31/23,"1,567,391,809","1,586,779,409",2.63,0.68,1.42,9.77,14.50,"22,678,898"
Atkinson & Gilmanton Academy Grant (U),01/23/24,"1,005,072","1,005,072",-2.80,2.80,1.43,-1.43,0.00,0
Auburn,10/18/23,"1,391,254,753","1,407,260,003",2.31,0.61,1.22,8.47,12.61,"17,525,523"
Barnstead,11/14/23,"1,049,780,124","1,071,029,438",3.33,0.94,1.11,8.97,14.35,"15,176,486"
Barrington,11/07/23,"1,800,341,052","1,842,472,352",2.66,1.72,1.20,11.11,16.69,"30,124,805"
Bartlett,11/29/23,"2,043,004,938","2,062,110,138",0.70,0.82,1.23,2.41,5.16,"11,058,077"
Bath,10/11/23,"129,604,612","149,974,412",6.04,1.48,1.51,13.97,23.00,"3,407,053"
Bean's Grant (U),01/22/24,1,1,0.00,0.00,0.00,0.00,0.00,0
Bean's Purchase (U),01/23/24,1,1,0.00,0.00,0.00,0.00,0.00,0
Bedford,11/02/23,"6,023,296,732","6,121,158,432",3.29,0.86,1.26,9.39,14.80,"89,986,839"
Belmont,11/08/23,"1,279,417,770","1,302,693,459",5.86,0.89,1.25,9.47,17.47,"22,399,669"
Bennington,11/07/23,"128,369,731","132,028,631",10.63,1.24,1.97,18.31,32.15,"4,197,682"
Benton,11/13/23,"52,434,895","54,308,895",-0.35,0.89,0.91,6.91,8.36,"450,517"
Berlin,12/06/23,"534,387,116","731,586,816",11.58,2.96,1.23,11.13,26.90,"19,374,704"
Bethlehem,11/21/23,"502,078,491","517,509,191",4.01,1.08,1.14,9.20,15.43,"8,005,932"
Boscawen,11/22/23,"503,400,881","516,585,081",6.65,1.45,1.05,10.28,19.43,"9,935,905"
Bow,10/23/23,"1,205,906,644","1,310,568,500",6.91,2.54,1.76,16.60,27.81,"35,937,205"
Bradford,12/04/23,"251,736,638","255,391,438",11.07,2.39,1.77,12.57,27.80,"7,048,882"
Brentwood,11/01/23,"718,625,492","742,919,892",3.87,0.81,1.77,17.08,23.53,"17,304,404"
Bridgewater,11/14/23,"458,424,700","465,392,300",2.79,1.46,1.96,1.85,8.06,"3,844,270"
Bristol,11/17/23,"545,489,070","561,253,670",9.53,1.79,2.00,9.43,22.75,"12,627,291"
Brookfield,10/18/23,"131,614,807","132,969,707",5.82,1.20,1.70,9.54,18.26,"2,418,774"
Brookline,11/02/23,"1,130,609,246","1,142,669,546",3.56,0.80,1.12,15.30,20.78,"23,520,166"
Cambridge (U),01/22/24,"12,328,831","12,624,531",0.71,2.79,1.30,-1.27,3.53,"44,179"
Campton,11/21/23,"444,220,695","455,042,195",7.94,1.88,2.13,16.82,28.77,"14,282,543"
Canaan,10/31/23,"449,787,721","456,527,821",6.56,1.39,1.50,17.70,27.15,"12,340,321"
Candia,11/16/23,"532,358,715","544,778,761",4.45,0.86,1.80,13.52,20.63,"11,025,180"
Canterbury,11/22/23,"363,176,084","370,653,184",6.35,2.26,1.48,10.91,21.00,"7,701,751"
