PID,Map,Block,Lot
5,201,1,
7,201,4,
8,201,5,
9,201,6,
10,201,7,
12,201,9,
13,201,10,
16,201,11,
18,201,12,1000
19,201,12,2000
20,201,13,
21,201,14,
22,201,15,
23,201,16,
25,201,18,
26,201,19,
27,201,20,
28,201,21,
29,201,22,
30,201,23,
32,201,25,
33,201,26,
34,201,27,
35,201,28,
36,201,29,
37,201,30,
39,201,31,1000
40,201,31,2000
41,201,32,
42,201,33,
43,201,34,
50,201,35,10
51,201,35,20
52,201,35,30
53,201,35,40
54,201,35,50
55,201,35,60
56,201,36,
57,201,37,
58,201,38,
59,201,39,
60,201,40,
62,201,42,
63,201,43,
64,201,44,
65,201,45,
66,201,46,
67,201,47,
68,201,48,
69,201,49,
76,201,51,1000
77,201,51,2000
78,201,52,
79,201,53,
80,201,54,
81,201,55,
82,201,56,
83,201,57,
84,201,58,
85,201,59,
86,201,60,
87,201,61,
88,201,62,
89,201,63,
91,201,65,
92,201,66,
93,201,67,
94,201,68,
95,201,69,
99,201,70,10
101,201,70,20
102,201,71,
103,201,72,
104,201,73,
105,201,74,
106,201,75,
107,201,76,
111,201,78,
115,201,79,1000
116,201,79,2000
117,201,80,10
118,201,81,
120,201,83,
121,201,84,
122,201,85,
123,201,86,
124,201,87,
125,201,88,
127,201,90,
128,201,91,
129,201,92,
132,201,93,100
133,201,93,200
136,201,94,100
137,201,94,200
138,201,95,
139,201,96,
140,201,97,
142,201,99,
143,201,100,
144,201,101,
148,201,102,1000
149,201,102,2000
150,201,103,
151,201,104,
152,201,105,
153,201,106,
154,201,107,
159,201,109,1000
161,201,110,1000
162,201,111,
163,201,112,
164,201,113,
167,201,117,
168,201,118,
169,201,119,
170,201,120,
171,201,122,
172,201,123,
173,201,124,
174,201,125,
176,201,126,
177,201,127,
178,201,128,1000
179,201,129,
180,201,130,
181,201,131,
182,201,132,
183,201,133,
187,401,2,
188,401,3,
189,401,4,
190,401,5,
191,401,6,
192,401,7,
194,401,9,
195,401,10,
197,401,12,
201,401,13,1000
202,401,13,2000
203,401,14,
204,401,15,
206,401,17,
207,401,18,
208,401,19,
209,401,20,
210,401,21,
217,401,23,1100
219,401,23,3000
220,401,24,
221,401,25,
222,401,26,
223,401,27,
224,401,28,
225,401,29,
229,401,30,1000
230,401,30,2000
231,401,31,1000
232,401,32,
233,401,33,
234,401,34,
235,401,35,
236,401,36,
237,401,37,
238,401,38,
241,401,39,
243,401,40,
244,401,41,
245,401,42,
246,401,43,
247,401,44,
248,401,45,
249,401,46,
250,401,47,
251,401,48,
252,401,49,
253,401,50,
254,401,51,
255,401,52,
256,401,53,1000
257,401,54,
258,401,55,301
259,401,56,
260,401,57,
267,401,59,
270,401,60,
271,401,61,
272,401,62,
273,401,63,
274,401,64,
275,401,65,
276,401,66,
277,401,67,
278,401,68,
279,401,69,
280,401,70,
283,401,71,
287,401,74,
288,401,75,
290,401,77,
291,401,78,
292,402,1,1000
294,402,3,
295,402,4,
296,402,4,1
297,402,5,
298,402,6,
299,402,7,
300,402,8,
301,402,9,
303,402,11,
306,402,14,
307,402,15,1000
308,402,16,
309,402,17,
310,402,18,2000
311,402,19,
313,402,21,
315,402,23,
316,402,24,
317,402,25,
319,402,26,1000
320,402,26,2000
321,402,27,
322,402,28,
323,402,29,
324,402,30,
325,402,31,
326,402,32,
327,402,33,
328,402,34,
329,402,35,
330,402,36,
331,402,37,
333,402,39,
334,402,40,
335,402,41,
336,402,42,
337,402,43,
339,402,45,
340,402,46,
341,402,47,
343,402,48,
344,402,49,
345,402,50,
346,402,51,
347,402,52,
348,402,53,
349,402,54,
350,402,55,
351,402,56,
355,402,57,
357,402,59,
358,402,60,
359,402,61,
360,402,62,
361,402,63,
363,402,65,
364,402,66,
365,402,67,
368,402,70,
369,402,71,
370,402,72,
371,402,73,
372,402,74,1000
375,402,77,
376,402,78,
377,402,79,
378,402,80,
379,402,81,
380,402,82,
381,402,83,
382,402,84,
383,401,79,
384,402,86,
385,402,87,
