PID	Building #	Year Built	Living Area	Replacement Cost	Percent Good	Value after Depreciation	Style	Model	Grade	Stories	Total Bedrooms	Total Bthrms	Total Half Baths	Total Rooms	Num Kitchens	Gross Floor Area	Living Area	CollectedOn
5	1	1955	832	112554	65	73200	Ranch	Residential	Below Average	1	2	1	0	6	01	1,664	832	2024-03-13
7	1	1956	806	102941	75	77200	Ranch	Residential	Below Average	1	1	1	0	3	01	1,457	806	2024-03-13
8	1	1932	1,380	137610	72	99100	Bungalow	Residential	Below Average	1	3	1	1	7	01	2,368	1,380	2024-03-13
9	1	1982	1,152	168236	64	107700	Ranch	Residential	Average	1	2	1	0	4	01	2,402	1,152	2024-03-13
10	1	1934	2,496	283827	83	235600	Cape Cod	Residential	Average +10	2	4	2	0	8	01	4,056	2,496	2024-03-13
12	1	1987	2,096	301862	85	256600	Cape Cod	Residential	Average +20	1.5	4	2	0	6	01	4,860	2,096	2024-03-13
13	1	1854	1,365	218155	80	174500	Antique	Residential	Average +10	1.75	3	1	1	6	00	2,916	1,365	2024-03-13
13	2	2007	798	113596	81	92000	Studio/Garage	Residential	Average +10	1.75	00	1	0	1	 	2,128	798	2024-03-13
16	1	1809	11,327	2077595	45	934900	B&B/Inn	Commercial	Excellent	3	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	19,500	11,327	2024-03-13
18	1	1796	1,643	242538	80	194000	Antique	Residential	Average +10	1.5	2	2	0	7	01	3,644	1,643	2024-03-13
19	1	1900	1,464	166720	75	125000	Ranch	Residential	Average	1	1	1	0	4	01	1,464	1,464	2024-03-13
20	1	1935	3,131	411733	90	370600	Cape Cod	Residential	Good	1.5	4	2	1	9	01	5,612	3,131	2024-03-13
21	1	1833	3,441	395456	85	336100	Conventional	Residential	Good	1.75	4	3	1	8	01	5,612	3,441	2024-03-13
21	2	1930	895	94359	57	53800	Ranch	Residential	Minimum	1	2	1	0	5	01	1,067	895	2024-03-13
22	1	1950	2,113	300294	75	225200	Colonial	Residential	Average +10	1.75	3	2	0	7	01	2,947	2,113	2024-03-13
23	1	1810	2,333	301910	71	214400	Antique	Residential	Average +10	1.75	5	2	0	9	01	3,275	2,333	2024-03-13
23	2		0	0		0	Accessory Bldg	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-03-13
25	1	1888	2,934	516142	76	392300	Colonial	Residential	Average +20	2.5	4	3	0	11	02	4,546	2,934	2024-03-13
26	1	1912	1,536	157316	66	103800	Ranch	Residential	Below Average	1	2	2	0	5	01	2,384	1,536	2024-03-13
27	1	1968	2,462	354457	90	319000	Cape Cod	Residential	Average +10	1.5	5	4	0	12	01	5,848	2,462	2024-03-13
28	1	1997	2,732	317053	81	256800	Ranch	Residential	Average +20	1	3	2	1	7	01	4,586	2,732	2024-03-13
29	1	1850	3,090	467141	90	420400	Antique	Residential	Average +20	1.5	4	3	0	10	01	6,349	3,090	2024-03-13
30	1	1774	1,818	290841	85	247200	Antique	Residential	Average +20	1.75	3	2	0	7	01	3,824	1,818	2024-03-13
32	1	1850	1,206	174331	76	132500	Antique	Residential	Average	1.5	3	2	0	6	01	1,798	1,206	2024-03-13
