PID	Building #	Year Built	Living Area	Replacement Cost	Percent Good	Value after Depreciation	Style	Model	Grade	Stories	Total Bedrooms	Total Bthrms	Total Half Baths	Total Rooms	Num Kitchens	Gross Floor Area	Living Area	CollectedOn
1	1		0	0		0	Accessory Bldg	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-10-27
2	1		0	0		0	Accessory Bldg	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-10-27
3	1		0	0		0	Accessory Bldg	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-10-27
4	1		0	0		0	Accessory Bldg	 	 	 	 	 	 	 	 	MISSING-Gross	Missing-Living	2024-10-27
5	1	1955	832	112554	65	73200	Ranch	Residential	Below Average	1	2	1	0	6	01	1,664	832	2024-10-27
7	1	1956	806	102941	75	77200	Ranch	Residential	Below Average	1	1	1	0	3	01	1,457	806	2024-10-27
8	1	1932	1,380	137610	72	99100	Bungalow	Residential	Below Average	1	3	1	1	7	01	2,368	1,380	2024-10-27
9	1	1982	1,152	168236	64	107700	Ranch	Residential	Average	1	2	1	0	4	01	2,402	1,152	2024-10-27
10	1	1934	2,496	283827	83	235600	Cape Cod	Residential	Average +10	2	4	2	0	8	01	4,056	2,496	2024-10-27
12	1	1987	2,096	301862	85	256600	Cape Cod	Residential	Average +20	1.5	4	2	0	6	01	4,860	2,096	2024-10-27
13	1	1854	1,365	218155	80	174500	Antique	Residential	Average +10	1.75	3	1	1	6	00	2,916	1,365	2024-10-27
13	2	2007	798	113596	81	92000	Studio/Garage	Residential	Average +10	1.75	00	1	0	1	 	2,128	798	2024-10-27
16	1	1809	11,327	2077595	45	934900	B&B/Inn	Commercial	Excellent	3	MISSING-Total Bedrooms:	MISSING-Total Bthrms:	MISSING-Total Half Baths:	 	MISSING-Num Kitchens:	19,500	11,327	2024-10-27
