PID	App. Year	Improvements	Land	Total	CollectedOn
1	2023	0	0	0	2024-11-26
1	2022	1254000	0	1254000	2024-11-26
1	2021	1254000	0	1254000	2024-11-26
2	2023	2705300	0	2705300	2024-11-26
2	2022	3294400	0	3294400	2024-11-26
2	2021	2861300	0	2861300	2024-11-26
3	2023	2007300	0	2007300	2024-11-26
3	2022	2353000	0	2353000	2024-11-26
3	2021	2527700	0	2527700	2024-11-26
4	2023	12600	0	12600	2024-11-26
4	2022	12600	0	12600	2024-11-26
4	2021	500	0	500	2024-11-26
5	2023	93700	167600	261300	2024-11-26
5	2022	93700	167600	261300	2024-11-26
5	2021	93700	167600	261300	2024-11-26
7	2023	77200	104600	181800	2024-11-26
7	2022	77200	104600	181800	2024-11-26
7	2021	77200	104600	181800	2024-11-26
8	2023	114000	140400	254400	2024-11-26
8	2022	114000	140400	254400	2024-11-26
8	2021	114000	140400	254400	2024-11-26
9	2023	112100	157900	270000	2024-11-26
9	2022	112100	157900	270000	2024-11-26
9	2021	108900	157900	266800	2024-11-26
10	2023	254100	163000	417100	2024-11-26
10	2022	254100	163000	417100	2024-11-26
10	2021	254100	163000	417100	2024-11-26
12	2023	261800	225200	487000	2024-11-26
12	2022	261800	225200	487000	2024-11-26
12	2021	261800	225200	487000	2024-11-26
13	2023	275700	280700	556400	2024-11-26
13	2022	275700	280700	556400	2024-11-26
13	2021	275700	280700	556400	2024-11-26
16	2023	1016100	385700	1401800	2024-11-26
16	2022	1016100	385700	1401800	2024-11-26
16	2021	1016100	385700	1401800	2024-11-26
18	2023	194000	122600	316600	2024-11-26
18	2022	194000	139100	333100	2024-11-26
18	2021	162500	139100	301600	2024-11-26
19	2023	125000	106300	231300	2024-11-26
19	2022	125000	62300	187300	2024-11-26
19	2021	91700	62300	154000	2024-11-26
20	2023	381400	234400	615800	2024-11-26
20	2022	381400	234400	615800	2024-11-26
20	2021	381400	234400	615800	2024-11-26
21	2023	398100	288400	686500	2024-11-26
21	2022	398100	288400	686500	2024-11-26
21	2021	398100	288400	686500	2024-11-26
22	2023	269300	179700	449000	2024-11-26
22	2022	269300	179700	449000	2024-11-26
22	2021	269300	179700	449000	2024-11-26
23	2023	233100	245600	478700	2024-11-26
23	2022	233100	245600	478700	2024-11-26
23	2021	233100	245600	478700	2024-11-26
25	2023	392500	170500	563000	2024-11-26
25	2022	378700	170500	549200	2024-11-26
25	2021	410600	170500	581100	2024-11-26
26	2023	144700	205300	350000	2024-11-26
26	2022	144700	205300	350000	2024-11-26
26	2021	151100	205300	356400	2024-11-26
27	2023	327100	210000	537100	2024-11-26
27	2022	327100	210000	537100	2024-11-26
27	2021	326700	210000	536700	2024-11-26
28	2023	302000	244000	546000	2024-11-26
28	2022	298800	244000	542800	2024-11-26
28	2021	292900	244000	536900	2024-11-26
29	2023	420400	235700	656100	2024-11-26
29	2022	420400	235700	656100	2024-11-26
29	2021	420400	235700	656100	2024-11-26
30	2023	275300	218200	493500	2024-11-26
30	2022	275300	218200	493500	2024-11-26
30	2021	275800	218200	494000	2024-11-26
32	2023	136200	146800	283000	2024-11-26
32	2022	131000	146800	277800	2024-11-26
32	2021	131000	146800	277800	2024-11-26
33	2023	176400	151600	328000	2024-11-26
33	2022	176400	151600	328000	2024-11-26
33	2021	176400	151600	328000	2024-11-26
34	2023	395200	157700	552900	2024-11-26
34	2022	395200	157700	552900	2024-11-26
34	2021	395200	157700	552900	2024-11-26
35	2023	0	29200	29200	2024-11-26
35	2022	0	29200	29200	2024-11-26
35	2021	0	29200	29200	2024-11-26
36	2023	377800	416200	794000	2024-11-26
36	2022	303000	416200	719200	2024-11-26
36	2021	303000	416200	719200	2024-11-26
37	2023	297500	353000	650500	2024-11-26
37	2022	297500	353000	650500	2024-11-26
37	2021	297500	353000	650500	2024-11-26
40	2023	0	43000	43000	2024-11-26
40	2022	0	43000	43000	2024-11-26
40	2021	0	43000	43000	2024-11-26
41	2023	447000	186000	633000	2024-11-26
41	2022	447000	186000	633000	2024-11-26
41	2021	447000	186000	633000	2024-11-26
42	2023	269800	218700	488500	2024-11-26
42	2022	269800	218700	488500	2024-11-26
42	2021	269800	218700	488500	2024-11-26
43	2023	137300	208300	345600	2024-11-26
43	2022	137300	208300	345600	2024-11-26
43	2021	137300	208300	345600	2024-11-26
50	2023	194300	0	194300	2024-11-26
50	2022	194300	0	194300	2024-11-26
50	2021	194300	0	194300	2024-11-26
51	2023	197400	0	197400	2024-11-26
51	2022	197400	0	197400	2024-11-26
51	2021	197400	0	197400	2024-11-26
52	2023	184100	0	184100	2024-11-26
52	2022	184100	0	184100	2024-11-26
52	2021	184100	0	184100	2024-11-26
53	2023	208500	0	208500	2024-11-26
53	2022	208500	0	208500	2024-11-26
53	2021	208500	0	208500	2024-11-26
54	2023	179900	0	179900	2024-11-26
54	2022	179900	0	179900	2024-11-26
54	2021	179900	0	179900	2024-11-26
55	2023	195600	0	195600	2024-11-26
55	2022	195600	0	195600	2024-11-26
55	2021	195600	0	195600	2024-11-26
56	2023	1025200	234500	1259700	2024-11-26
56	2022	976100	234500	1210600	2024-11-26
56	2021	926400	234500	1160900	2024-11-26
57	2023	734700	230000	964700	2024-11-26
57	2022	734700	230000	964700	2024-11-26
57	2021	734700	230000	964700	2024-11-26
58	2023	653600	262000	915600	2024-11-26
58	2022	653600	262000	915600	2024-11-26
58	2021	653600	262000	915600	2024-11-26
59	2023	355300	156500	511800	2024-11-26
59	2022	355300	156500	511800	2024-11-26
59	2021	355300	156500	511800	2024-11-26
60	2023	485100	218900	704000	2024-11-26
60	2022	485100	218900	704000	2024-11-26
60	2021	485100	218900	704000	2024-11-26
62	2023	515100	163900	679000	2024-11-26
62	2022	498400	163900	662300	2024-11-26
62	2021	485300	163900	649200	2024-11-26
63	2023	258400	232100	490500	2024-11-26
63	2022	258400	232100	490500	2024-11-26
63	2021	258400	232100	490500	2024-11-26
64	2023	103900	218200	322100	2024-11-26
64	2022	103900	218200	322100	2024-11-26
64	2021	103900	218200	322100	2024-11-26
65	2023	482500	228900	711400	2024-11-26
65	2022	436100	228900	665000	2024-11-26
65	2021	316000	228900	544900	2024-11-26
66	2023	218800	230900	449700	2024-11-26
66	2022	218800	230900	449700	2024-11-26
66	2021	218800	230900	449700	2024-11-26
67	2023	0	103200	103200	2024-11-26
67	2022	0	103200	103200	2024-11-26
67	2021	0	103200	103200	2024-11-26
68	2023	127000	157100	284100	2024-11-26
68	2022	127000	157100	284100	2024-11-26
68	2021	127000	157100	284100	2024-11-26
69	2023	0	8600	8600	2024-11-26
69	2022	0	8600	8600	2024-11-26
69	2021	0	8600	8600	2024-11-26
76	2023	519800	234400	754200	2024-11-26
76	2022	519800	234400	754200	2024-11-26
76	2021	519800	234400	754200	2024-11-26
77	2023	343500	234900	578400	2024-11-26
77	2022	343500	234900	578400	2024-11-26
77	2021	343500	234900	578400	2024-11-26
78	2023	173800	216500	390300	2024-11-26
78	2022	173800	216500	390300	2024-11-26
78	2021	173800	216500	390300	2024-11-26
79	2023	116800	216500	333300	2024-11-26
79	2022	116800	216500	333300	2024-11-26
79	2021	116800	216500	333300	2024-11-26
80	2023	301600	317200	618800	2024-11-26
80	2022	301600	317200	618800	2024-11-26
80	2021	301600	317200	618800	2024-11-26
81	2023	92200	233300	325500	2024-11-26
81	2022	92200	233300	325500	2024-11-26
81	2021	139400	290400	429800	2024-11-26
82	2023	217700	199300	417000	2024-11-26
