PID	Code	Description	Size	Units	Value	Bldg#	CollectedOn
12	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-11-26
16	FPO	EXTRA FPL OPEN	1.00	UNITS	500	1	2024-11-26
16	SPR2	WET/CONCEALED	12932.00	S.F.	20400	1	2024-11-26
16	FPL1	FIREPLACE 1 ST	1.00	UNITS	1800	1	2024-11-26
16	ELV2	4 STOP PASSNGR	1.00	UNITS	37100	1	2024-11-26
16	FPL	FIREPLCE/MET F	9.00	UNITS	7100	1	2024-11-26
16	SPR1	SPRINKLERS-WET	2541.00	S.F.	3400	1	2024-11-26
16	GNRB	SV GENERATOR	0.00	UNITS	0	1	2024-11-26
20	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-26
21	FPL2	1.5 STORY CHIM	2.00	UNITS	7700	1	2024-11-26
22	FPL1	FIREPLACE 1 ST	1.00	UNITS	3000	1	2024-11-26
23	FPL2	1.5 STORY CHIM	1.00	UNITS	3200	1	2024-11-26
23	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-26
26	GNRA	SV GENERATOR	1.00	UNITS	3600	1	2024-11-26
27	FPL1	FIREPLACE 1 ST	1.00	UNITS	3500	1	2024-11-26
28	FPL1	FIREPLACE 1 ST	1.00	UNITS	3200	1	2024-11-26
30	FPL	FIREPLCE/MET F	1.00	UNITS	1500	1	2024-11-26
34	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-26
34	SNA	SAUNA	37.00	S.F.	4100	1	2024-11-26
41	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-26
41	GNRA	SV GENERATOR	1.00	UNITS	5000	1	2024-11-26
42	FPL2	1.5 STORY CHIM	1.00	UNITS	3200	1	2024-11-26
57	FPL3	2 STORY CHIM	1.00	UNITS	4500	1	2024-11-26
58	FPL1	FIREPLACE 1 ST	1.00	UNITS	2900	1	2024-11-26
58	LIFT	LIFT	1.00	UNITS	2000	1	2024-11-26
58	GNRA	SV GENERATOR	0.00	UNITS	0	1	2024-11-26
60	FPL2	1.5 STORY CHIM	2.00	UNITS	7700	1	2024-11-26
60	FPL	FIREPLCE/MET F	1.00	UNITS	1500	1	2024-11-26
62	NFP3	NONFCTG FPL3	1.00	UNITS	2300	1	2024-11-26
62	FPL	FIREPLCE/MET F	1.00	UNITS	1500	1	2024-11-26
65	FPL3	2 STORY CHIM	1.00	UNITS	4100	1	2024-11-26
65	FPLD	DELUX FIREPLAC	1.00	UNITS	9000	1	2024-11-26
68	HRTH	HEARTH-INC FLU	1.00	UNITS	1100	1	2024-11-26
76	FPL2	1.5 STORY CHIM	1.00	UNITS	4100	1	2024-11-26
76	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-26
77	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-11-26
78	HRTH	HEARTH-INC FLU	1.00	UNITS	1300	1	2024-11-26
80	FPL3	2 STORY CHIM	1.00	UNITS	4300	1	2024-11-26
81	FPO	EXTRA FPL OPEN	1.00	UNITS	200	1	2024-11-26
81	FPL3	2 STORY CHIM	1.00	UNITS	1000	1	2024-11-26
83	HRTH	HEARTH-INC FLU	1.00	UNITS	1500	1	2024-11-26
84	GNRB	SV GENERATOR	1.00	UNITS	7900	1	2024-11-26
86	FPL3	2 STORY CHIM	3.00	UNITS	10800	1	2024-11-26
86	NFPO	NONFNCTG FPO	4.00	UNITS	1700	1	2024-11-26
