PID	Ass. Year	Improvements	Land	Total	CollectedOn
1	2025	0	0	0	2024-12-03
1	2023	0	0	0	2024-12-03
1	2022	1254000	0	1254000	2024-12-03
2	2025	2246700	0	2246700	2024-12-03
2	2023	2705300	0	2705300	2024-12-03
2	2022	3294400	0	3294400	2024-12-03
3	2025	1601800	0	1601800	2024-12-03
3	2023	2007300	0	2007300	2024-12-03
3	2022	2353000	0	2353000	2024-12-03
4	2025	10300	0	10300	2024-12-03
4	2023	12600	0	12600	2024-12-03
4	2022	12600	0	12600	2024-12-03
5	2025	93700	167600	261300	2024-12-03
5	2023	93700	167600	261300	2024-12-03
5	2022	93700	167600	261300	2024-12-03
7	2025	77200	104600	181800	2024-12-03
7	2023	77200	104600	181800	2024-12-03
7	2022	77200	104600	181800	2024-12-03
8	2025	114000	140400	254400	2024-12-03
8	2023	114000	140400	254400	2024-12-03
8	2022	114000	140400	254400	2024-12-03
9	2025	112100	157900	270000	2024-12-03
9	2023	112100	157900	270000	2024-12-03
9	2022	112100	157900	270000	2024-12-03
10	2025	254100	163000	417100	2024-12-03
10	2023	254100	163000	417100	2024-12-03
10	2022	254100	163000	417100	2024-12-03
12	2025	261800	225200	487000	2024-12-03
12	2023	261800	225200	487000	2024-12-03
12	2022	261800	225200	487000	2024-12-03
13	2025	275700	280700	556400	2024-12-03
13	2023	275700	280700	556400	2024-12-03
13	2022	275700	280700	556400	2024-12-03
16	2025	1016100	385700	1401800	2024-12-03
16	2023	1016100	385700	1401800	2024-12-03
16	2022	1016100	385700	1401800	2024-12-03
18	2025	201700	136700	338400	2024-12-03
18	2023	194000	122600	316600	2024-12-03
18	2022	194000	139100	333100	2024-12-03
19	2025	125000	95400	220400	2024-12-03
19	2023	125000	106300	231300	2024-12-03
19	2022	125000	62300	187300	2024-12-03
20	2025	386900	234400	621300	2024-12-03
20	2023	381400	234400	615800	2024-12-03
20	2022	381400	234400	615800	2024-12-03
21	2025	398100	288400	686500	2024-12-03
21	2023	398100	288400	686500	2024-12-03
21	2022	398100	288400	686500	2024-12-03
22	2025	269300	179700	449000	2024-12-03
22	2023	269300	179700	449000	2024-12-03
22	2022	269300	179700	449000	2024-12-03
23	2025	239600	243000	482600	2024-12-03
23	2023	233100	245600	478700	2024-12-03
23	2022	233100	245600	478700	2024-12-03
25	2025	392500	170500	563000	2024-12-03
25	2023	392500	170500	563000	2024-12-03
25	2022	378700	170500	549200	2024-12-03
26	2025	144700	205300	350000	2024-12-03
26	2023	144700	205300	350000	2024-12-03
26	2022	144700	205300	350000	2024-12-03
27	2025	386800	210000	596800	2024-12-03
