PID	Code	Description	SubCode	SubDescr	Size	Units	Value	Bldg#	CollectedOn
1	TRAN	TRANSCANADA	 	 	1.00	UNITS	0	1	2024-12-03
2	NHEC	UTILITY	 	 	1.00	UNITS	1848900	1	2024-12-03
2	NHECR	NHEC ROW	 	 	1.00	UNITS	397800	1	2024-12-03
3	PSNH	UTILITY	 	 	1.00	UNITS	1601800	1	2024-12-03
4	GRMT	UTILITY	 	 	1.00	UNITS	10300	1	2024-12-03
5	FGR1	GARAGE-AVE	 	 	484.00	S.F.	6200	1	2024-12-03
5	SHD2	SHED GOOD	 	 	576.00	S.F.	6300	1	2024-12-03
5	SLOA	FP SILO	 	 	1.00	UNITS	1000	1	2024-12-03
5	LNT	LEAN-TO	 	 	288.00	S.F.	600	1	2024-12-03
5	GRN1	GREEN HOUSE-RS	 	 	408.00	S.F.	6400	1	2024-12-03
8	SHD1	SHED AVERAGE	 	 	150.00	S.F.	900	1	2024-12-03
8	FGR6	W/LOFT-POOR	 	 	640.00	S.F.	9300	1	2024-12-03
8	SHP4	W/IMPROV AGE	 	 	240.00	S.F.	3400	1	2024-12-03
8	SHD3	LOW COST	 	 	220.00	S.F.	1000	1	2024-12-03
8	LNT	LEAN-TO	 	 	56.00	S.F.	300	1	2024-12-03
9	SHD1	SHED AVERAGE	 	 	96.00	S.F.	1200	1	2024-12-03
9	IMP	IMPLEMENT SHED	 	 	204.00	S.F.	1600	1	2024-12-03
9	WDK	WOOD DECK	 	 	192.00	S.F.	1600	1	2024-12-03
10	SHD1	SHED AVERAGE	 	 	96.00	S.F.	1400	1	2024-12-03
10	LNT	LEAN-TO	 	 	200.00	S.F.	900	1	2024-12-03
10	LNT	LEAN-TO	 	 	64.00	S.F.	300	1	2024-12-03
10	PAD	CONC PAD	 	 	240.00	S.F.	1400	1	2024-12-03
10	LNT	LEAN-TO	 	 	40.00	S.F.	100	1	2024-12-03
10	FPLF	FIREPL/2 ST	 	 	1.00	UNITS	5500	1	2024-12-03
10	SPL5	AG POOL RECTANGLE	 	 	360.00	S.F.	6300	1	2024-12-03
10	WDK	WOOD DECK	 	 	192.00	S.F.	2600	1	2024-12-03
12	SHD1	SHED AVERAGE	 	 	160.00	S.F.	1400	1	2024-12-03
13	BRN3	1 STORY W/LOFT	 	 	490.00	S.F.	4300	1	2024-12-03
13	IMP	IMPLEMENT SHED	 	 	418.00	S.F.	4900	2	2024-12-03
16	PAVA	SV PAVING MED	 	 	1.00	UNITS	5000	1	2024-12-03
16	LT5	MERC VAP/FLU	 	 	6.00	UNITS	5900	1	2024-12-03
20	SHD2	SHED GOOD	 	 	336.00	S.F.	6700	1	2024-12-03
20	GEN2	BACK UP POWER <20 KW	 	 	1.00	UNITS	5500	1	2024-12-03
21	SHD3	LOW COST	 	 	192.00	S.F.	500	1	2024-12-03
22	FGR1	GARAGE-AVE	 	 	780.00	S.F.	20000	1	2024-12-03
22	SHD1	SHED AVERAGE	 	 	96.00	S.F.	1100	1	2024-12-03
22	SLR3	SOLAR PV 7-10KW	 	 	1.00	UNITS	20000	1	2024-12-03
23	BRN3	1 STORY W/LOFT	 	 	936.00	S.F.	10300	1	2024-12-03
23	BRN3	1 STORY W/LOFT	 	 	1026.00	S.F.	3900	1	2024-12-03
25	SHD1	SHED AVERAGE	 	 	48.00	S.F.	200	1	2024-12-03
26	FGR5	W/LOFT GOOD	 	 	572.00	S.F.	26800	1	2024-12-03
26	SLR1	SOLAR PV <5 KW	 	 	1.00	UNITS	10000	1	2024-12-03
26	PAT1	PATIO-AVG	 	 	80.00	S.F.	500	1	2024-12-03
27	SHD2	SHED GOOD	 	 	238.00	S.F.	3100	1	2024-12-03
27	PAT1	PATIO-AVG	 	 	480.00	S.F.	1400	1	2024-12-03
27	GEN2	BACK UP POWER <20 KW	 	 	1.00	UNITS	5500	1	2024-12-03
28	FGR1	GARAGE-AVE	 	 	576.00	S.F.	14700	1	2024-12-03
28	SHD1	SHED AVERAGE	 	 	240.00	S.F.	2200	1	2024-12-03
28	TEN	TENNIS COURT	 	 	4320.00	S.F.	8600	1	2024-12-03
28	SHP2	WORK SHOP GOOD	 	 	576.00	S.F	16400	1	2024-12-03
28	WDK	WOOD DECK	 	 	20.00	S.F.	100	1	2024-12-03
28	SLR3	SOLAR PV 7-10KW	 	 	1.00	UNITS	20000	1	2024-12-03
30	SHD2	SHED GOOD	 	 	180.00	S.F.	2000	1	2024-12-03
30	BRN3	1 STORY W/LOFT	 	 	420.00	S.F.	4300	1	2024-12-03
30	LNT	LEAN-TO	 	 	180.00	S.F.	300	1	2024-12-03
30	SLR3	SOLAR PV 7-10KW	 	 	1.00	UNITS	20000	1	2024-12-03
32	BRN8	POLE BRN/RUN N	 	 	775.00	S.F.	3700	1	2024-12-03
33	FGR1	GARAGE-AVE	 	 	624.00	S.F.	14000	1	2024-12-03
34	SLR2	SOLAR PV 5-7KW	 	 	1.00	UNITS	15000	1	2024-12-03
36	CAB1	CABIN-MINIMAL	 	 	120.00	S.F.	2900	1	2024-12-03
36	WDK	WOOD DECK	 	 	180.00	S.F.	1000	1	2024-12-03
37	SHD2	SHED GOOD	 	 	192.00	S.F.	3800	1	2024-12-03
41	SLR1	SOLAR PV <5 KW	 	 	1.00	UNITS	10000	1	2024-12-03
41	PAT1	PATIO-AVG	 	 	384.00	S.F.	2300	1	2024-12-03
42	FGR5	W/LOFT GOOD	 	 	864.00	S.F.	38200	1	2024-12-03
42	CAB1	CABIN-MINIMAL	 	 	120.00	S.F.	2200	1	2024-12-03
42	GRRM	RM IN DET FGR	 	 	264.00	S.F.	4000	1	2024-12-03
42	SHD1	SHED AVERAGE	 	 	192.00	S.F.	2600	1	2024-12-03
43	SHD2	SHED GOOD	 	 	135.00	S.F.	1800	1	2024-12-03
50	AMNA	AMENITY VAL	 	 	1.00	UNITS	115000	1	2024-12-03
