PID	App. Year	Improvements	Land	Total	CollectedOn
1	2025	0	0	0	2024-12-04
1	2023	0	0	0	2024-12-04
1	2022	1254000	0	1254000	2024-12-04
2	2025	2246700	0	2246700	2024-12-04
2	2023	2705300	0	2705300	2024-12-04
2	2022	3294400	0	3294400	2024-12-04
3	2025	1601800	0	1601800	2024-12-04
3	2023	2007300	0	2007300	2024-12-04
3	2022	2353000	0	2353000	2024-12-04
4	2025	10300	0	10300	2024-12-04
4	2023	12600	0	12600	2024-12-04
4	2022	12600	0	12600	2024-12-04
5	2025	93700	167600	261300	2024-12-04
5	2023	93700	167600	261300	2024-12-04
5	2022	93700	167600	261300	2024-12-04
7	2025	77200	104600	181800	2024-12-04
7	2023	77200	104600	181800	2024-12-04
7	2022	77200	104600	181800	2024-12-04
8	2025	114000	140400	254400	2024-12-04
8	2023	114000	140400	254400	2024-12-04
8	2022	114000	140400	254400	2024-12-04
9	2025	112100	157900	270000	2024-12-04
9	2023	112100	157900	270000	2024-12-04
9	2022	112100	157900	270000	2024-12-04
10	2025	254100	163000	417100	2024-12-04
10	2023	254100	163000	417100	2024-12-04
10	2022	254100	163000	417100	2024-12-04
12	2025	261800	225200	487000	2024-12-04
12	2023	261800	225200	487000	2024-12-04
12	2022	261800	225200	487000	2024-12-04
13	2025	275700	280700	556400	2024-12-04
13	2023	275700	280700	556400	2024-12-04
13	2022	275700	280700	556400	2024-12-04
16	2025	1016100	385700	1401800	2024-12-04
16	2023	1016100	385700	1401800	2024-12-04
16	2022	1016100	385700	1401800	2024-12-04
18	2025	201700	136700	338400	2024-12-04
18	2023	194000	122600	316600	2024-12-04
18	2022	194000	139100	333100	2024-12-04
19	2025	125000	95400	220400	2024-12-04
19	2023	125000	106300	231300	2024-12-04
19	2022	125000	62300	187300	2024-12-04
20	2025	386900	234400	621300	2024-12-04
20	2023	381400	234400	615800	2024-12-04
20	2022	381400	234400	615800	2024-12-04
21	2025	398100	288400	686500	2024-12-04
21	2023	398100	288400	686500	2024-12-04
21	2022	398100	288400	686500	2024-12-04
22	2025	269300	179700	449000	2024-12-04
22	2023	269300	179700	449000	2024-12-04
22	2022	269300	179700	449000	2024-12-04
23	2025	239600	243000	482600	2024-12-04
23	2023	233100	245600	478700	2024-12-04
23	2022	233100	245600	478700	2024-12-04
25	2025	392500	170500	563000	2024-12-04
25	2023	392500	170500	563000	2024-12-04
25	2022	378700	170500	549200	2024-12-04
26	2025	144700	205300	350000	2024-12-04
26	2023	144700	205300	350000	2024-12-04
26	2022	144700	205300	350000	2024-12-04
27	2025	386800	210000	596800	2024-12-04
27	2023	327100	210000	537100	2024-12-04
27	2022	327100	210000	537100	2024-12-04
28	2025	322000	244000	566000	2024-12-04
28	2023	302000	244000	546000	2024-12-04
28	2022	298800	244000	542800	2024-12-04
29	2025	420400	235700	656100	2024-12-04
29	2023	420400	235700	656100	2024-12-04
29	2022	420400	235700	656100	2024-12-04
30	2025	275300	218200	493500	2024-12-04
30	2023	275300	218200	493500	2024-12-04
30	2022	275300	218200	493500	2024-12-04
32	2025	136200	146800	283000	2024-12-04
32	2023	136200	146800	283000	2024-12-04
32	2022	131000	146800	277800	2024-12-04
33	2025	176400	151600	328000	2024-12-04
33	2023	176400	151600	328000	2024-12-04
33	2022	176400	151600	328000	2024-12-04
34	2025	395200	157700	552900	2024-12-04
34	2023	395200	157700	552900	2024-12-04
34	2022	395200	157700	552900	2024-12-04
35	2025	0	29200	29200	2024-12-04
35	2023	0	29200	29200	2024-12-04
35	2022	0	29200	29200	2024-12-04
36	2025	415200	416200	831400	2024-12-04
36	2023	377800	416200	794000	2024-12-04
36	2022	303000	416200	719200	2024-12-04
37	2025	297500	353000	650500	2024-12-04
37	2023	297500	353000	650500	2024-12-04
37	2022	297500	353000	650500	2024-12-04
40	2025	0	43000	43000	2024-12-04
40	2023	0	43000	43000	2024-12-04
40	2022	0	43000	43000	2024-12-04
41	2025	447000	186000	633000	2024-12-04
41	2023	447000	186000	633000	2024-12-04
41	2022	447000	186000	633000	2024-12-04
42	2025	269800	218700	488500	2024-12-04
42	2023	269800	218700	488500	2024-12-04
42	2022	269800	218700	488500	2024-12-04
43	2025	137300	208300	345600	2024-12-04
43	2023	137300	208300	345600	2024-12-04
43	2022	137300	208300	345600	2024-12-04
50	2025	194300	0	194300	2024-12-04
50	2023	194300	0	194300	2024-12-04
50	2022	194300	0	194300	2024-12-04
51	2025	197400	0	197400	2024-12-04
51	2023	197400	0	197400	2024-12-04
51	2022	197400	0	197400	2024-12-04
52	2025	184100	0	184100	2024-12-04
52	2023	184100	0	184100	2024-12-04
52	2022	184100	0	184100	2024-12-04
53	2025	208500	0	208500	2024-12-04
53	2023	208500	0	208500	2024-12-04
53	2022	208500	0	208500	2024-12-04
54	2025	179900	0	179900	2024-12-04
54	2023	179900	0	179900	2024-12-04
54	2022	179900	0	179900	2024-12-04
55	2025	195600	0	195600	2024-12-04
55	2023	195600	0	195600	2024-12-04
55	2022	195600	0	195600	2024-12-04
56	2025	545500	234500	780000	2024-12-04
56	2023	1025200	234500	1259700	2024-12-04
56	2022	976100	234500	1210600	2024-12-04
57	2025	734700	230000	964700	2024-12-04
57	2023	734700	230000	964700	2024-12-04
57	2022	734700	230000	964700	2024-12-04
58	2025	653600	262000	915600	2024-12-04
58	2023	653600	262000	915600	2024-12-04
58	2022	653600	262000	915600	2024-12-04
59	2025	355300	156500	511800	2024-12-04
59	2023	355300	156500	511800	2024-12-04
59	2022	355300	156500	511800	2024-12-04
60	2025	485100	218900	704000	2024-12-04
60	2023	485100	218900	704000	2024-12-04
60	2022	485100	218900	704000	2024-12-04
62	2025	515100	163900	679000	2024-12-04
62	2023	515100	163900	679000	2024-12-04
62	2022	498400	163900	662300	2024-12-04
63	2025	258400	232100	490500	2024-12-04
63	2023	258400	232100	490500	2024-12-04
63	2022	258400	232100	490500	2024-12-04
64	2025	103900	218200	322100	2024-12-04
64	2023	103900	218200	322100	2024-12-04
64	2022	103900	218200	322100	2024-12-04
65	2025	493400	228900	722300	2024-12-04
65	2023	482500	228900	711400	2024-12-04
