Municipality,County,Date incorporated[a],Population (2020)[1],Land area (sq mil),Form of government,Populated places[2],https://en.wikipedia.org/wiki/List_of_municipalities_in_New_Hampshire
Acworth,Sullivan,1766,853,38.9,Town meeting,"Acworth, Crescent Lake, East Acworth, Lynn, South Acworth"
Albany,Carroll,1766,759,73.6,Town meeting,"Ferncroft, Passaconaway, Paugus Mill"
Alexandria,Grafton,1782,1776,43,Town meeting,"Alexandria, South Alexandria"
Allenstown,Merrimack,1831,4707,20.3,Town meeting,"Allenstown, Blodgett, Kenison Corner, Suncook (part)"
Alstead,Cheshire,1763,1864,38.8,Town meeting,"Alstead, Alstead Center, East Alstead, Forristalls Corner, Mill Hollow"
Alton,Belknap,1796,5894,62.9,Town meeting,"Alton, Alton Bay, Brookhurst, East Alton, Loon Cove, Mount Major, South Alton, Spring Haven, Stockbridge Corners, West Alton, Woodlands"
Amherst,Hillsborough,1760,11753,34.2,Town meeting,"Amherst, Baboosic Lake, Cricket Corner, Ponemah"
Andover,Merrimack,1779,2406,40.5,Town meeting,"Andover, Cilleyville, East Andover, Halcyon Station, Potter Place, West Andover"
Antrim,Hillsborough,1777,2651,35.7,Town meeting,"Antrim, Antrim Center, Clinton Village, Loverens Mill, North Branch"
Ashland,Grafton,1868,1938,11,Town meeting,Ashland
Atkinson,Rockingham,1767,7087,11.2,Town meeting,"Atkinson, Atkinson Heights, Conleys Grove, Westville, Atkinson Depot"
Auburn,Rockingham,1845,5946,25.2,Town meeting,"Auburn, Hooks Crossing, Severance"
Barnstead,Belknap,1727,4915,42,Town meeting,"Barnstead Parade, Center Barnstead, Lockes Corner, North Barnstead, South Barnstead"
Barrington,Strafford,1722,9326,46.6,Town meeting,"Barrington, East Barrington, South Barrington, West Barrington"
Bartlett,Carroll,1790,3200,74.9,Town meeting,"Bartlett, Cooks Crossing, Glen, Goodrich Falls, Jericho, Lower Bartlett, Intervale, Kearsarge, Rogers Crossing"
Bath,Grafton,1761,1077,37.7,Town meeting,"Bath, Mountain Lakes (part), Nutter, Pettyboro, Swiftwater, Upper Village, West Bath"
Bedford,Hillsborough,1750,23322,32.8,Council-manager,Bedford
Belmont,Belknap,1727,7314,30.5,Town meeting,"Belmont, Gardners Grove, Lochmere, Winnisquam, Tioga"
Bennington,Hillsborough,1842,1501,11,Town meeting,Bennington
Benton,Grafton,1764,374,48.2,Town meeting,"Benton, Boutin Corner, Coventry"
Berlin,Coös,1829/1897,9425,61.4,Council-manager,"Berlin, Berlin Mills, Cascade"
Bethlehem,Grafton,1799,2484,90.6,Town meeting,"Alderbrook, Bethlehem, Deerfield, Five Corners, Maplewood, Pierce Bridge"
Boscawen,Merrimack,1760,3998,24.7,Town meeting,"Boscawen, Gerrish"
Bow,Merrimack,1727,8229,28,Town meeting (with town manager),"Bow Bog, Bow Center, Bow Junction, Bow Mills, South Bow"
,,,,,,
Bradford,Merrimack,1787,1662,35.3,Town meeting,"Box Corner, Bradford, Bradford Center"
Brentwood,Rockingham,1742,4490,16.8,Town meeting,"Brentwood, Brentwood Corners, Marshall Corner"
Bridgewater,Grafton,1788,1160,21.3,Town meeting,Bridgewater
Bristol,Grafton,1819,3244,17.1,Town meeting (with town manager),
,,,,,,
Brookfield,Carroll,1794,755,22.9,Town meeting,"Brookfield, Stoneham Corners"
Brookline,Hillsborough,1769,5639,19.8,Town meeting,"Brookline, North Brookline, South Brookline, West Brookline"
Campton,Grafton,1761,3343,51.9,Town meeting,"Beebe River, Blair, Campton Hollow, Campton Lower Village, Campton Station, Campton Upper Village, West Campton"
Canaan,Grafton,1761,3794,53.2,Town meeting,"Canaan, Canaan Center, Canaan Street, North Canaan, West Canaan"
Candia,Rockingham,1763,4013,30.3,Town meeting,"Bean Island, Candia, Candia Four Corners, Candia Station, East Candia"
Canterbury,Merrimack,1741,2389,43.6,Town meeting,"Boyce, Canterbury, Canterbury Station, Hills Corner, Shaker Village"
Carroll,Coös,1832,820,50.2,Town meeting,"Bretton Woods, Carroll, Crawford House, Fabyan, Quebec Junction, Twin Mountain"
Center Harbor,Belknap,1797,1040,13.4,Town meeting,"Center Harbor, West Center Harbor"
Charlestown,Sullivan,1753,4806,35.8,Town meeting,"Charlestown, Hemlock Center, North Charlestown, Snumshire, South Charlestown, South Hemlock, Springfield Junction, Trapshire"
Chatham,Carroll,1767,341,56.7,Town meeting,"Chatham, North Chatham, South Chatham"
Chester,Rockingham,1722,5232,25.9,Town meeting,"Chester, North Chester"
Chesterfield,Cheshire,1752,3552,45.6,Town meeting,"Chesterfield, Spofford, West Chesterfield"
Chichester,Merrimack,1727,2665,21.1,Town meeting,"Chichester, Horse Corner, Kelleys Corner, North Chichester, Websters Mill"
Claremont,Sullivan,1764/1947,12949,43.2,Council-manager,"Claremont, Claremont Junction, Puckershire, West Claremont"
Clarksville,Coös,1853,294,60.1,Town meeting,
Colebrook,Coös,1796,2084,40.7,Town meeting,"Colebrook, Kidderville, Upper Kidderville, Factory Village"
Columbia,Coös,1797,659,60.3,Town meeting,"Bungy, Columbia, Cones, Georges, Meriden Hill, Tinkerville"
Concord,Merrimack,1733/1853,43976,64,Council-manager,"Concord, Concord Heights, Concord Manor, East Concord, Mast Yard, Penacook, Riverhill, West Concord"
Conway,Carroll,1765,9822,69.4,Town meeting,"Center Conway, Conway, East Conway, Intervale, Kearsarge, North Conway, Quint, Redstone, South Conway"
Cornish,Sullivan,1765,1616,42.1,Town meeting,"Balloch, Cornish Center, Cornish City, Cornish Flat, Cornish Mills, South Cornish, Squag City"
Croydon,Sullivan,1763,801,36.7,Town meeting,"Croydon, Croydon Flat, Croydon Four Corners, Ryder Corner"
