Ïown,Tax Rate,% Incr from 2020,Pct Increase,https://joeshimkus.com/NH-Tax-Rates-2021.aspx
Claremont,40.98,0.64%,0.64
Berlin,36.54,1.70%,1.7
Gorham,35.6,11.77%,11.77
Northumberland,35.31,6.97%,6.97
Newport,33,-0.30%,-0.3
Hinsdale,32.65,-4.39%,-4.39
Henniker,32.56,4.23%,4.23
Lisbon,32.43,-4.39%,-4.39
Winchester,31.79,10.50%,10.5
Charlestown,31.61,-18.21%,-18.21
Allenstown,31.5,7.51%,7.51
Keene,31.28,-16.09%,-16.09
Hopkinton,30.87,5.54%,5.54
Plymouth,30.49,7.02%,7.02
Bennington,30.34,3.23%,3.23
Troy,29.58,4.67%,4.67
Colebrook,29.32,5.54%,5.54
Sandown,28.98,4.77%,4.77
Hillsborough,28.92,0.66%,0.66
Unity,28.62,3.02%,3.02
Brookline,28.58,2.81%,2.81
Mont Vernon,28.44,7.00%,7
Boscawen,28.38,5.94%,5.94
Penacook,27.97,-6.55%,-6.55
Durham,27.91,0.65%,0.65
Jaffrey,27.89,1.31%,1.31
Somersworth,27.53,-1.15%,-1.15
Ashland,27.47,-3.38%,-3.38
Middleton,27.46,-2.87%,-2.87
Lebanon,26.98,-0.41%,-0.41
Greenfield,26.8,-1.29%,-1.29
Canaan,26.7,-22.38%,-22.38
Belmont,26.67,5.25%,5.25
Plainfield,26.55,4.53%,4.53
Orford,26.46,1.26%,1.26
Newmarket,26.36,3.53%,3.53
Warner,26.31,-7.36%,-7.36
Lancaster,26.19,5.86%,5.86
Antrim,26.07,-8.69%,-8.69
Roxbury,26.04,2.64%,2.64
Grafton,25.88,-3.61%,-3.61
Fitzwilliam,25.83,0.27%,0.27
Peterborough,25.76,-16.47%,-16.47
Hill,25.65,-0.16%,-0.16
Whitefield,25.56,-2.52%,-2.52
Bow,25.49,-0.35%,-0.35
Walpole,25.43,-0.90%,-0.9
Madbury,25.4,0.59%,0.59
Goshen,25.29,10.10%,10.1
Dalton,25.15,4.23%,4.23
Greenville,25.15,8.55%,8.55
Concord,25.12,-6.13%,-6.13
Enfield,25.11,-1.34%,-1.34
Campton,24.97,2.88%,2.88
Marlborough,24.9,-20.88%,-20.88
Goffstown,24.82,0%,0
Bethlehem,24.79,-1.63%,-1.63
Derry,24.76,1.73%,1.73
Marlow,24.71,-16.83%,-16.83
Rochester,24.65,0.16%,0.16
Francestown,24.52,-5.18%,-5.18
Surry,24.52,-13.72%,-13.72
Swanzey,24.51,-4.56%,-4.56
Rollinsford,24.38,-1.22%,-1.22
Sutton,24.16,-2.85%,-2.85
Lyme,24.07,-9.71%,-9.71
Exeter,24.01,-1.96%,-1.96
Pembroke,24,-2.44%,-2.44
Pittsfield,23.99,-2.95%,-2.95
Bradford,23.91,0.21%,0.21
Stewartstown,23.87,1.06%,1.06
Rumney,23.84,-0.42%,-0.42
Lempster,23.76,-4.35%,-4.35
Salisbury,23.75,-3.46%,-3.46
Epsom,23.64,8.29%,8.29
Gilmanton,23.5,1.29%,1.29
Sullivan,23.49,-10.55%,-10.55
Richmond,23.45,-1.10%,-1.1
Dublin,23.42,-4.91%,-4.91
Dunbarton,23.41,5.07%,5.07
Temple,23.41,-3.10%,-3.1
Farmington,23.37,1.96%,1.96
Orange,23.35,-5.88%,-5.88
Alstead,23.25,-4.79%,-4.79
Nashua,23.22,2.70%,2.7
Franklin,23.21,1.62%,1.62
Gilsum,23.2,-9.90%,-9.9
Chichester,23.1,-0.35%,-0.35
Littleton,23.06,6.51%,6.51
Acworth,22.93,-21.93%,-21.93
Grantham,22.92,-2.30%,-2.3
Milton,22.86,3.16%,3.16
Hampstead,22.75,5.57%,5.57
Cornish,22.71,6.67%,6.67
Hollis,22.7,-2.07%,-2.07
Rindge,22.65,0.89%,0.89
Deering,22.56,-9.07%,-9.07
Effingham,22.49,5.84%,5.84
Washington,22.43,6.35%,6.35
Epping,22.42,-5.16%,-5.16
Sharon,22.35,-1.11%,-1.11
Fremont,22.32,-3.50%,-3.5
Webster,22.29,0.45%,0.45
Brentwood,22.24,-4.10%,-4.1
Hooksett,22.22,-1.29%,-1.29
New Ipswich,22.22,4.56%,4.56
Northfield,22.21,-2.46%,-2.46
Dorchester,22.16,6.23%,6.23
Tamworth,22.14,-1.51%,-1.51
Lyndeborough,22.1,3.56%,3.56
